Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.15506753437239076,0.156173,0.019022388426166947,-1.4912765548199647,0.04761,0.221513
MASTER_LEFT_POS_Y,-0.03246706178680768,-0.031829,0.022203409258451667,0.6125839249808596,-0.07044,0.038952
MASTER_LEFT_POS_Z,0.31387125466184246,0.313612,0.03181583117818888,-1.0149370017032686,0.177535,0.375837
MASTER_LEFT_ROT_R11,-0.5195501525187866,-0.673055,0.38498049780616417,1.1855393796145894,-0.999638,0.548061
MASTER_LEFT_ROT_R12,-0.16348422154188702,-0.142641,0.4299143132574705,0.2103773087088846,-0.87166,0.926601
MASTER_LEFT_ROT_R13,-0.5645724077372669,-0.516964,0.2274086062480615,0.06586220200073348,-0.971254,0.040441
MASTER_LEFT_ROT_R21,-0.04621782966880044,-0.046878,0.3694652274487501,-0.21383192276974172,-0.937738,0.725706
MASTER_LEFT_ROT_R22,-0.7835470718062899,-0.842275,0.191411018415797,1.5565680730037466,-0.999895,-0.024222
MASTER_LEFT_ROT_R23,0.37303008794878934,0.36151,0.267700905821661,-0.2413436832467258,-0.213173,0.818248
MASTER_LEFT_ROT_R31,-0.5806616395769552,-0.639455,0.32495644076811436,0.9546519232909574,-0.996036,0.396883
MASTER_LEFT_ROT_R32,0.2010865794600612,0.215645,0.3121319532090619,-1.0484662658303123,-0.85389,0.913749
MASTER_LEFT_ROT_R33,0.5705882326746452,0.631384,0.3064507434754086,-0.9828588049212206,-0.28309,0.969173
MASTER_LEFT_LIN_VEL_X,-1.4065126635123952e-05,0.0,0.02041006271407358,-0.45048679779998024,-0.157173,0.112276
MASTER_LEFT_LIN_VEL_Y,1.1494572780405326e-06,0.0,0.015367597043254248,-0.4429291281506634,-0.108387,0.09499
MASTER_LEFT_LIN_VEL_Z,2.5401335930976958e-05,0.0,0.020211135046830024,1.180127240110736,-0.100741,0.142398
MASTER_LEFT_ROT_VEL_X,0.001906341219037015,0.0,0.5173979255487896,0.014144958611258055,-5.19747,4.921432
