Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.08579403831578948,0.084995,0.015195507556274733,0.6157554235742719,0.051987,0.140469
MASTER_LEFT_POS_Y,0.03409766189473684,0.027481,0.03246250778327827,1.7906645565920318,-0.003782,0.182844
MASTER_LEFT_POS_Z,0.3733768025263158,0.38227,0.03484824342701899,-1.2436523566706548,0.231304,0.437367
MASTER_LEFT_ROT_R11,-0.6626208517894737,-0.661282,0.19429761136282617,1.6658473704494206,-0.995866,0.532591
MASTER_LEFT_ROT_R12,0.33146560252631574,0.419972,0.3278665755749748,-0.6943686739151383,-0.508599,0.993996
MASTER_LEFT_ROT_R13,-0.5180118690526316,-0.545474,0.193912613537858,0.30751499730998716,-0.996997,-0.007406
MASTER_LEFT_ROT_R21,-0.4534721835789473,-0.595702,0.3123667387398189,0.893802343954736,-0.985783,0.354484
MASTER_LEFT_ROT_R22,-0.7774153044210526,-0.774058,0.19462376149614338,2.773228377153034,-0.999547,0.569926
MASTER_LEFT_ROT_R23,0.1336216387368421,0.098564,0.19164188427425086,0.41574606142834114,-0.30779,0.64449
MASTER_LEFT_ROT_R31,-0.385628664,-0.442716,0.26604098786666763,0.5751402844143896,-0.852494,0.395638
MASTER_LEFT_ROT_R32,0.3199064442105263,0.34715,0.19431317795315306,-0.1411130421798173,-0.084275,0.76498
MASTER_LEFT_ROT_R33,0.7856138656842105,0.806464,0.15267090351958687,-2.1200568880313617,0.011326,0.999943
MASTER_LEFT_LIN_VEL_X,0.00021529221052631568,-4e-06,0.025644789634425486,0.47923928687842465,-0.110678,0.155363
MASTER_LEFT_LIN_VEL_Y,0.00018604336842105256,0.0,0.03758836938484,-1.9827350622053221,-0.263214,0.144671
MASTER_LEFT_LIN_VEL_Z,-0.0007553835789473677,0.0,0.03742150210693255,0.29095432758478673,-0.173481,0.210242
MASTER_LEFT_ROT_VEL_X,-0.013613653473684206,0.0,0.7578830504840818,-0.709209223994207,-5.811018,4.973736
MASTER_LEFT_ROT_VEL_Y,-0.02878779452631579,0.0,0.573366259667512,-0.9189492137616178,-5.455608,3.925298
MASTER_LEFT_ROT_VEL_Z,-0.02539933347368421,0.0,0.9973812365277279,-0.7735138786199215,-7.04741,5.251633
MASTER_LEFT_GRIPPER_ANGLE,-0.7025987183157896,-0.351954,0.8523034773351666,-0.43144330478614606,-1.917511,0.521627
MASTER_RIGHT_POS_X,-0.10024098484210527,-0.101221,0.014047614889751064,1.4655309756517085,-0.128571,-0.046519
MASTER_RIGHT_POS_Y,0.044855610526315794,0.039498,0.02040817770379962,0.38506529145938884,0.015258,0.088844
MASTER_RIGHT_POS_Z,0.34929027157894743,0.351889,0.023782761379883933,-0.5152981305844127,0.272594,0.396345
MASTER_RIGHT_ROT_R11,0.6316175957894736,0.684156,0.2674881958846551,-0.514675704542477,-0.008831,0.999934
MASTER_RIGHT_ROT_R12,0.07102287621052632,0.085511,0.5654579692811572,0.05213811773470583,-0.935878,0.9617
MASTER_RIGHT_ROT_R13,0.3319818728421053,0.355211,0.3077440234700803,0.002709752002290069,-0.244144,0.968458
MASTER_RIGHT_ROT_R21,-0.12782119410526316,-0.139788,0.5029498690532626,0.055534768292061394,-0.938263,0.745093
MASTER_RIGHT_ROT_R22,0.6827530307368421,0.792043,0.2534378606405559,-1.1765600618203724,-0.155019,0.964045
MASTER_RIGHT_ROT_R23,0.4179666307368421,0.393947,0.16032135177793522,0.047180760079113586,-0.013827,0.77689
MASTER_RIGHT_ROT_R31,-0.18313608000000003,-0.281494,0.47654532919758347,0.3250037399462103,-0.923904,0.62576
MASTER_RIGHT_ROT_R32,-0.24531844042105264,-0.315563,0.29171637670097295,0.5345046101127204,-0.858059,0.522975
MASTER_RIGHT_ROT_R33,0.7587201949473684,0.7956,0.13576513755984307,-1.2741351954481954,0.241199,0.960701
MASTER_RIGHT_LIN_VEL_X,0.0001319191578947367,2e-06,0.018622511702227812,-0.5331528025624568,-0.113209,0.117609
MASTER_RIGHT_LIN_VEL_Y,1.6249684210526252e-05,-0.00018,0.016255513017446665,1.172618695736112,-0.116506,0.137811
MASTER_RIGHT_LIN_VEL_Z,-0.0005783705263157896,0.000409,0.020539634581699908,-2.4872536928355578,-0.12668,0.077462
MASTER_RIGHT_ROT_VEL_X,-0.02505067578947369,0.0,0.6818618803331082,-0.8315127355799393,-5.271152,4.848592
MASTER_RIGHT_ROT_VEL_Y,-0.006368628631578951,0.0,0.8282328468133948,-1.2151497322570828,-6.74332,4.394555
MASTER_RIGHT_ROT_VEL_Z,-0.017453781473684215,0.0,0.9925506936376437,-0.2773298767162111,-5.795192,5.467186
MASTER_RIGHT_GRIPPER_ANGLE,-0.6464504067368421,-0.951315,0.7672986066806249,0.36327287423123966,-1.40706,0.535859
SLAVE_LEFT_POS_X,0.044408117894736844,0.043918,0.0070237431979041694,1.4654060645990579,0.030248,0.07127
SLAVE_LEFT_POS_Y,0.04536814147368421,0.04269,0.010204465908093673,0.38513029865344695,0.030573,0.067383
SLAVE_LEFT_POS_Z,-0.006004059789473684,-0.004702,0.011891521222512776,-0.5152395285858649,-0.044368,0.017526
SLAVE_LEFT_ROT_R11,-0.5837095701052633,-0.62693,0.27902966830682846,0.39193973733200227,-0.998242,0.089649
SLAVE_LEFT_ROT_R12,-0.12253472631578947,-0.161388,0.5627697997858443,0.020280397192881622,-0.979544,0.930075
SLAVE_LEFT_ROT_R13,0.39825758610526313,0.390214,0.30215068989905136,-0.09858094227890027,-0.156343,0.978518
SLAVE_LEFT_ROT_R21,0.2243237397894737,0.250686,0.4923755727812726,-0.12023258837503076,-0.660684,0.971718
SLAVE_LEFT_ROT_R22,-0.675191204631579,-0.820135,0.27401291239464154,1.1408625470144238,-0.968649,0.218371
SLAVE_LEFT_ROT_R23,0.38860432126315786,0.38448,0.15940033295264083,-0.08176886865073396,-0.108812,0.822338
SLAVE_LEFT_ROT_R31,0.2466852947368421,0.332312,0.4775422595178852,-0.2988856883070075,-0.546371,0.961219
SLAVE_LEFT_ROT_R32,0.25078067368421053,0.289614,0.27315411876576684,-0.36409056686500757,-0.476315,0.886182
SLAVE_LEFT_ROT_R33,0.7388396964210526,0.799688,0.1668804045847779,-1.1425096996863442,0.20096,0.953717
SLAVE_LEFT_LIN_VEL_X,8.110147368421052e-05,2e-06,0.009240640320991358,-0.5050785696593314,-0.051913,0.058708
SLAVE_LEFT_LIN_VEL_Y,2.951578947368475e-06,-4.9e-05,0.008070259514148744,1.1569448286596797,-0.058799,0.06182
SLAVE_LEFT_LIN_VEL_Z,-0.0002842858947368423,0.000196,0.010259807605644204,-2.509089398778637,-0.067725,0.038827
SLAVE_LEFT_ROT_VEL_X,-0.007611987368421048,-2.3e-05,0.7035349215949498,-0.16453443749302368,-5.268445,5.335887
SLAVE_LEFT_ROT_VEL_Y,0.013939427368421057,-4e-06,0.8727061111213927,-0.6089492233070821,-6.426312,4.741952
SLAVE_LEFT_ROT_VEL_Z,0.01988172968421053,-5e-06,1.046023906123979,0.15728285771444048,-6.677587,6.377128
SLAVE_LEFT_GRIPPER_ANGLE,-0.43185303999999997,-0.79388,0.5202476650905653,0.7568331093849673,-0.88222,0.523058
SLAVE_RIGHT_POS_X,0.07930633684210527,0.078913,0.007597806531295403,0.6154021759270403,0.062404,0.106642
SLAVE_RIGHT_POS_Y,0.040428766736842106,0.037121,0.01623114339150534,1.7903607812191902,0.021489,0.114807
SLAVE_RIGHT_POS_Z,-0.053400937263157894,-0.048955,0.01742467634639455,-1.2439749927225294,-0.124482,-0.021394
SLAVE_RIGHT_ROT_R11,-0.5149429541052633,-0.503388,0.2192480183929474,1.015138909229037,-0.95423,0.672835
SLAVE_RIGHT_ROT_R12,0.45765957347368424,0.544039,0.3129466078185048,-0.8500301220484658,-0.373237,0.998514
SLAVE_RIGHT_ROT_R13,-0.5852867772631579,-0.601969,0.19207009545727516,0.31595250690706367,-0.998319,-0.01533
SLAVE_RIGHT_ROT_R21,-0.5780155271578948,-0.713141,0.27948748732822487,0.9770616843058155,-0.999674,0.16214
SLAVE_RIGHT_ROT_R22,-0.7026808985263158,-0.692654,0.22738551745148242,1.8253952306761216,-0.999584,0.664357
SLAVE_RIGHT_ROT_R23,0.004269338105263156,-0.041173,0.20584695671318695,0.3901668691953183,-0.421849,0.506779
SLAVE_RIGHT_ROT_R31,-0.4563946930526315,-0.502042,0.2575506791691851,0.6000895464115998,-0.903747,0.280957
SLAVE_RIGHT_ROT_R32,0.33563051242105263,0.359945,0.18594543560565963,-0.009838212304056227,-0.121883,0.853412
SLAVE_RIGHT_ROT_R33,0.7397403204210526,0.754364,0.1760285167463488,-1.5264262753739084,-0.040589,0.999377
SLAVE_RIGHT_LIN_VEL_X,0.00018341431578947363,-8e-06,0.012691098550579438,0.5462196288708066,-0.055209,0.077903
SLAVE_RIGHT_LIN_VEL_Y,0.00014963284210526334,0.0,0.018839508872941647,-2.0184002168551474,-0.133938,0.076922
SLAVE_RIGHT_LIN_VEL_Z,-0.00044563452631578944,3e-06,0.018773574468756292,0.26251247788404364,-0.086993,0.104587
SLAVE_RIGHT_ROT_VEL_X,-0.017014753684210526,-6e-06,0.7366493469148245,-0.11890679051564207,-5.373953,4.977584
SLAVE_RIGHT_ROT_VEL_Y,-0.025542348210526318,-3e-06,0.5576294395255229,-0.6470086185838774,-3.48863,4.090598
SLAVE_RIGHT_ROT_VEL_Z,-0.005900852631578941,1e-06,1.0670274415497885,-0.7358797588634937,-7.582841,6.107308
