Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.1029560754716981,0.09399099999999999,0.04321652698640497,2.2871472905943038,0.043726,0.296799
MASTER_LEFT_POS_Y,0.03917232754716981,0.0332915,0.020873020440063613,0.7687377580678403,0.001256,0.112528
MASTER_LEFT_POS_Z,0.3975475033962264,0.4010775,0.028505580557189228,-0.24177341099848187,0.326543,0.450372
MASTER_LEFT_ROT_R11,-0.1290254966037736,-0.147482,0.20345402775609062,0.5400048321270924,-0.578257,0.588066
MASTER_LEFT_ROT_R12,0.09347246490566039,0.0646605,0.4725037209913741,0.33228940604978957,-0.895521,0.999145
MASTER_LEFT_ROT_R13,-0.7806362935849056,-0.93838,0.31741480080912415,1.7804538781017676,-0.99947,0.339391
MASTER_LEFT_ROT_R21,-0.5281209754716981,-0.584507,0.3049873202410888,0.44383661100919514,-0.99996,0.320595
MASTER_LEFT_ROT_R22,-0.6535850969811321,-0.7920085,0.3461643740135942,1.782809462135127,-0.999968,0.585736
MASTER_LEFT_ROT_R23,0.15833331962264152,0.10056000000000001,0.23679431405970247,1.0552704134422484,-0.273378,0.896117
MASTER_LEFT_ROT_R31,-0.6621185766037736,-0.7726770000000001,0.36260758599418513,1.3944039031584814,-0.999884,0.332862
MASTER_LEFT_ROT_R32,0.3850685769811321,0.40593999999999997,0.26982435303998437,-0.4618349366818206,-0.346553,0.899799
MASTER_LEFT_ROT_R33,0.2892419101886793,0.18027100000000001,0.35429135017036106,0.826756249903492,-0.311441,0.999828
MASTER_LEFT_LIN_VEL_X,0.00042585735849056544,0.0,0.03832825372473679,-1.5852615449687621,-0.210607,0.140996
MASTER_LEFT_LIN_VEL_Y,0.0004993905660377357,0.0,0.0168625906219504,-0.5821887958504016,-0.096122,0.074862
MASTER_LEFT_LIN_VEL_Z,0.0006378871698113206,0.0,0.018959950247612614,0.48040450350191277,-0.076924,0.085914
MASTER_LEFT_ROT_VEL_X,0.017504395471698117,0.0,0.7820196708980864,1.7152806779269885,-5.345979,5.519059
MASTER_LEFT_ROT_VEL_Y,-0.0055135483018868,0.0,0.5640370520163509,-1.0935766945259995,-4.278555,4.749396
MASTER_LEFT_ROT_VEL_Z,0.03899862943396226,0.0,0.6905851011879345,1.8533657100599847,-5.334211,5.608204
MASTER_LEFT_GRIPPER_ANGLE,-0.1561588569811321,0.1802885,0.5368553460319546,-0.22557960443709288,-1.023737,0.522036
MASTER_RIGHT_POS_X,-0.10734155358490564,-0.1058875,0.011033302086536181,-0.3423687826769929,-0.130569,-0.085399
MASTER_RIGHT_POS_Y,0.05908056339622642,0.059641,0.017047643598026057,-0.1591883198883275,0.02168,0.090711
MASTER_RIGHT_POS_Z,0.37403427698113206,0.376949,0.022966858038000606,-0.41645514844045,0.319052,0.411082
MASTER_RIGHT_ROT_R11,0.16231069018867925,0.158219,0.1672526632333083,-0.03721369207911913,-0.157941,0.602116
