Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.09454360176730486,0.088111,0.03481188162952379,1.8669274019002065,0.052707,0.23482
MASTER_LEFT_POS_Y,0.015517938733431517,0.015486,0.011974829442015751,-0.09578208244209686,-0.013608,0.045624
MASTER_LEFT_POS_Z,0.36823613873343153,0.366131,0.03469804580335174,0.18192844404288977,0.297744,0.438566
MASTER_LEFT_ROT_R11,-0.5584729779086892,-0.616279,0.3608029045231382,1.4606444314247236,-0.994776,0.765071
MASTER_LEFT_ROT_R12,-0.05328838527245949,0.056509,0.5688473392504297,0.000492673767631259,-0.949423,0.997173
MASTER_LEFT_ROT_R13,-0.39976289072164944,-0.380117,0.26812672822535827,0.36012806631107486,-0.974301,0.199049
MASTER_LEFT_ROT_R21,-0.19641174226804123,-0.263702,0.43798303093627156,0.07611166390014493,-0.999968,0.667861
MASTER_LEFT_ROT_R22,-0.5897839734904271,-0.660116,0.3174841589565216,2.152803166514533,-0.99178,0.79985
MASTER_LEFT_ROT_R23,0.4972440942562592,0.567557,0.27162480443762455,-0.6521289558118307,-0.296424,0.856495
MASTER_LEFT_ROT_R31,-0.36530623033873344,-0.525228,0.44010258227361615,0.7621510882601878,-0.89944,0.650166
MASTER_LEFT_ROT_R32,0.384922786156112,0.433064,0.2772793080073576,-1.1871600900148804,-0.423495,0.945305
MASTER_LEFT_ROT_R33,0.6494111670103093,0.682215,0.16183724312797199,-0.3829226181245431,0.226038,0.947686
MASTER_LEFT_LIN_VEL_X,-6.480353460972011e-05,0.0,0.03156368629780952,-2.806207022066821,-0.283062,0.128144
MASTER_LEFT_LIN_VEL_Y,6.594580265095738e-05,0.0,0.013472855995012842,0.27905858341822354,-0.085896,0.086025
MASTER_LEFT_LIN_VEL_Z,0.0006990701030927833,0.0,0.02124336456722242,1.0891560896907473,-0.10233,0.131617
MASTER_LEFT_ROT_VEL_X,0.008248892488954345,0.0,0.5149940847493278,-0.21872790200299666,-5.832128,5.088125
MASTER_LEFT_ROT_VEL_Y,-0.007153478939617084,0.0,0.7217355673487552,-0.44217696191750455,-6.298883,5.213489
MASTER_LEFT_ROT_VEL_Z,-0.02182384948453608,0.0,0.7821804178998121,-1.1987962799864893,-7.391259,5.674146
MASTER_LEFT_GRIPPER_ANGLE,-0.56728856730486,-0.129053,0.9665050398229867,-0.4087975716426342,-1.919089,0.523069
MASTER_RIGHT_POS_X,-0.10287094197349042,-0.101678,0.022253736084835746,1.2358274175428092,-0.148105,0.02729
MASTER_RIGHT_POS_Y,0.03688416053019145,0.038308,0.017042471240779157,-0.24388307124095407,-0.014998,0.066864
MASTER_RIGHT_POS_Z,0.3428509119293078,0.343064,0.02547458526918943,-0.15710583020079644,0.261919,0.398097
MASTER_RIGHT_ROT_R11,0.7147520459499264,0.818476,0.283968602844935,-2.1919965083477564,-0.489141,0.999978
MASTER_RIGHT_ROT_R12,-0.19831879646539025,-0.292996,0.40882591119619416,0.3132993190054212,-0.902993,0.671515
MASTER_RIGHT_ROT_R13,0.3724642229749631,0.394616,0.25174553635033,-0.21027010746063657,-0.201317,0.994061
MASTER_RIGHT_ROT_R21,-0.10230529219440353,-0.018053,0.25127033085122197,-1.3779098921627002,-0.990577,0.254898
MASTER_RIGHT_ROT_R22,0.6222278860088366,0.64979,0.21446215241943872,-1.4508847460218752,-0.312553,0.99109
MASTER_RIGHT_ROT_R23,0.640386062150221,0.715385,0.28832541399908784,-1.8229677266453026,-0.404929,0.984019
MASTER_RIGHT_ROT_R31,-0.41194305478645066,-0.537647,0.4072569611230695,0.785657646443714,-0.991855,0.529838
MASTER_RIGHT_ROT_R32,-0.5472394544918999,-0.598849,0.24641587201739826,0.634117087355931,-0.989118,0.111263
MASTER_RIGHT_ROT_R33,0.5249212,0.551705,0.1692599683986955,0.06171162686430985,-0.115677,0.954213
MASTER_RIGHT_LIN_VEL_X,0.00012231369661266572,-1e-06,0.029922757177279435,-1.4064210704975757,-0.253634,0.166157
MASTER_RIGHT_LIN_VEL_Y,-5.532312223858617e-05,0.0,0.013097682565563049,-0.7908547800991389,-0.094554,0.061903
MASTER_RIGHT_LIN_VEL_Z,7.930544918998514e-05,0.000137,0.02158591535511987,-1.6600840293485617,-0.172684,0.10997
MASTER_RIGHT_ROT_VEL_X,0.0009316430044182603,0.0,0.5585399021543468,-1.2786135378114645,-5.840372,5.15042
MASTER_RIGHT_ROT_VEL_Y,-0.0040773767304860065,0.0,0.7432518141182533,-0.6198051189710857,-6.813047,5.911331
MASTER_RIGHT_ROT_VEL_Z,0.018813650073637698,0.0,0.6359203332233188,1.0933490396459653,-3.858996,5.233934
MASTER_RIGHT_GRIPPER_ANGLE,-0.6685685075110458,-1.268251,0.7980502051550022,0.32292839271665114,-1.409072,0.535907
SLAVE_LEFT_POS_X,0.0425905734904271,0.043184,0.011127302150875082,1.2354184786106843,0.019976,0.107672
SLAVE_LEFT_POS_Y,0.03637845625920471,0.037088,0.008520835823041863,-0.24390102100906977,0.010439,0.051382
SLAVE_LEFT_POS_Z,-0.01012639911634757,-0.009998,0.012738089275991215,-0.15735611199352129,-0.050605,0.017498
SLAVE_LEFT_ROT_R11,-0.7017428050073637,-0.810969,0.28802863973293846,2.224002860680054,-0.999965,0.533485
SLAVE_LEFT_ROT_R12,0.16086201296023564,0.247535,0.4064136289214359,-0.27003473866033845,-0.707,0.878914
SLAVE_LEFT_ROT_R13,0.41322611870397646,0.447234,0.25076344074974977,-0.406335588287772,-0.178008,0.994707
SLAVE_LEFT_ROT_R21,0.14776174315169366,0.068794,0.24107429151640763,1.2742086395219896,-0.204378,0.985932
SLAVE_LEFT_ROT_R22,-0.648216612371134,-0.683048,0.21586798856435846,1.8890116146122282,-0.987395,0.355486
SLAVE_LEFT_ROT_R23,0.6048490141384388,0.683697,0.2957677671507632,-1.7325666773624189,-0.427683,0.974674
SLAVE_LEFT_ROT_R31,0.4205600427098674,0.549334,0.4097134302642045,-0.8063725458776723,-0.531403,0.991818
SLAVE_LEFT_ROT_R32,0.533915941089838,0.583854,0.2391217889668189,-0.6677551716656798,-0.095963,0.984961
SLAVE_LEFT_ROT_R33,0.5319048871870398,0.549212,0.17369385670323254,-0.25082321519919437,-0.097248,0.957966
SLAVE_LEFT_LIN_VEL_X,-0.00010146804123711353,-1e-05,0.014920531947926627,-1.358384946205329,-0.126753,0.081138
SLAVE_LEFT_LIN_VEL_Y,-9.777731958762884e-05,-4e-06,0.006707115040907402,-0.6557282153557702,-0.047496,0.03224
SLAVE_LEFT_LIN_VEL_Z,4.5068335787923335e-05,4.3e-05,0.010789324744487,-1.6589933961198764,-0.083763,0.054883
SLAVE_LEFT_ROT_VEL_X,-0.011360168483063326,-1.3e-05,0.4942963335336508,-2.4807026099622056,-6.151167,4.598862
SLAVE_LEFT_ROT_VEL_Y,-0.010649402650957289,-1.1e-05,0.7794207661823132,-1.4226949620533227,-6.56533,4.933699
SLAVE_LEFT_ROT_VEL_Z,0.01997226156111929,-1.2e-05,0.6641827966920432,0.8643746293222123,-4.809464,5.233358
SLAVE_LEFT_GRIPPER_ANGLE,-0.45525558615611184,-0.804494,0.4903646656047804,0.6699750836891113,-0.965172,0.521752
SLAVE_RIGHT_POS_X,0.08446198615611192,0.081247,0.01740599437825714,1.8670494994876068,0.063545,0.154601
SLAVE_RIGHT_POS_Y,0.032269728129602354,0.032269,0.0059888699869593345,-0.09568061919051248,0.017699,0.047323
SLAVE_RIGHT_POS_Z,-0.05705387334315169,-0.058093,0.017348382563690912,0.18171243046956193,-0.092318,-0.021887
SLAVE_RIGHT_ROT_R11,-0.5255196044182621,-0.524092,0.3612214567088813,0.9436243501055464,-0.998823,0.727955
SLAVE_RIGHT_ROT_R12,-0.11156788365243007,-0.044412,0.5648424754630383,0.14585069869476566,-0.935645,0.997504
SLAVE_RIGHT_ROT_R13,-0.4310145746686303,-0.450747,0.27610399494716314,0.6893160135604801,-0.969242,0.274457
SLAVE_RIGHT_ROT_R21,-0.12036740147275402,-0.164635,0.43944739625928,-0.08761199117685177,-0.997253,0.684822
SLAVE_RIGHT_ROT_R22,-0.64709149455081,-0.725779,0.30435571105378195,2.086482593613483,-0.999799,0.723888
SLAVE_RIGHT_ROT_R23,0.44769488689248893,0.511493,0.2841013601643476,-0.4968514636901455,-0.280437,0.837597
SLAVE_RIGHT_ROT_R31,-0.4497683254786451,-0.640471,0.4284881918986136,0.977324856101107,-0.939085,0.660911
SLAVE_RIGHT_ROT_R32,0.27564725714285715,0.32227,0.2851456375820521,-0.8911015877381153,-0.390215,0.8976
SLAVE_RIGHT_ROT_R33,0.6518374191458026,0.682767,0.17891503948652585,-0.29481894644292744,0.23931,0.962143
SLAVE_RIGHT_LIN_VEL_X,-6.004594992636227e-05,-1e-06,0.01574877637832557,-2.7862056406374007,-0.141233,0.064042
SLAVE_RIGHT_LIN_VEL_Y,0.00012594609720176732,0.0,0.006698747323003548,0.3467761018844028,-0.040013,0.039049
SLAVE_RIGHT_LIN_VEL_Z,0.0003082972017673049,1e-06,0.01063858343871659,1.0293385385870601,-0.051779,0.064369
SLAVE_RIGHT_ROT_VEL_X,0.004553332547864506,1e-06,0.485618799301412,-0.8209739726861395,-5.481153,4.214033
SLAVE_RIGHT_ROT_VEL_Y,-0.003082191752577318,1e-06,0.6949339542240495,-0.2465568732613847,-6.518214,5.097616
SLAVE_RIGHT_ROT_VEL_Z,-0.013663386745213545,-1e-06,0.7455135960604252,-1.2106124669823146,-7.106087,4.668466
SLAVE_RIGHT_GRIPPER_ANGLE,-0.32487054344624444,-0.429637,0.5080473343485683,0.2198840911895974,-0.950044,0.516959
