Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.12247275271667109,0.121873,0.03203020731793464,1.7736798332148318,0.061013,0.270408
MASTER_LEFT_POS_Y,0.01693860137821362,0.013116,0.0356420425411465,1.4174750417948734,-0.038851,0.164491
MASTER_LEFT_POS_Z,0.3795179361250994,0.370047,0.026217170055861588,0.36425866106114807,0.314452,0.439716
MASTER_LEFT_ROT_R11,-0.5129449912536442,-0.585416,0.22561069067838688,1.0266594906048467,-0.995471,0.356845
MASTER_LEFT_ROT_R12,-0.0792531081367612,-0.09697,0.47759670617762623,0.5116695561327602,-0.876544,0.999907
MASTER_LEFT_ROT_R13,-0.6102354174397032,-0.66475,0.28171020421952986,1.3936106965705852,-0.977318,0.208514
MASTER_LEFT_ROT_R21,-0.28320592022263447,-0.289941,0.30592128567312443,0.22277434411710928,-0.947568,0.611002
MASTER_LEFT_ROT_R22,-0.7297971460376359,-0.821135,0.2437317977648456,1.4561517144266398,-0.988623,0.26469
MASTER_LEFT_ROT_R23,0.4075675958123509,0.419872,0.26099163560895466,-0.0886326014966555,-0.096667,0.896097
MASTER_LEFT_ROT_R31,-0.5738116694937716,-0.74868,0.4269600572202415,2.063847881515127,-0.993771,0.731362
MASTER_LEFT_ROT_R32,0.34755164749536177,0.391677,0.23028691908076154,-1.2738565161153386,-0.600911,0.864627
MASTER_LEFT_ROT_R33,0.4619298163265307,0.545732,0.31836809898205726,-1.8818560683451757,-0.664977,0.951863
MASTER_LEFT_LIN_VEL_X,0.00011702676914921798,0.0,0.032377807790953124,-1.481652957472175,-0.211915,0.167825
MASTER_LEFT_LIN_VEL_Y,2.5596872515239956e-05,0.0,0.03419226653073721,-1.163571067554377,-0.192655,0.156076
MASTER_LEFT_LIN_VEL_Z,-0.00023273972965809697,-1.8e-05,0.02506303122380137,1.0084348620120835,-0.122105,0.191391
MASTER_LEFT_ROT_VEL_X,-0.01494249562682216,0.0,0.5501252012228341,-0.087455689844527,-5.032734,5.592508
MASTER_LEFT_ROT_VEL_Y,0.002935163530347203,0.0,0.6847312703155982,-0.5502051114011085,-5.813105,4.502123
MASTER_LEFT_ROT_VEL_Z,0.03246800106016433,0.0,0.7851353439286143,1.3657816867279475,-5.776062,5.334468
MASTER_LEFT_GRIPPER_ANGLE,-0.8756488733103632,-0.946747,0.8810542530400847,0.18478186031923682,-1.917491,0.52668
MASTER_RIGHT_POS_X,-0.15646560376358334,-0.15361,0.012723093455403348,-2.1545420198279883,-0.231133,-0.13152
MASTER_RIGHT_POS_Y,0.025821661277498013,0.024411,0.020994300464177093,-0.05938851708273631,-0.037755,0.068882
MASTER_RIGHT_POS_Z,0.34266560270341906,0.341924,0.025597259219892556,-0.46194270669876125,0.249336,0.396502
MASTER_RIGHT_ROT_R11,0.6422700408163265,0.737112,0.3136547648149741,-1.596319954334785,-0.479211,0.99997
MASTER_RIGHT_ROT_R12,-0.045180747680890546,-0.117318,0.5277297062538167,0.1932654805820615,-0.977171,0.933336
MASTER_RIGHT_ROT_R13,0.3689445253114233,0.479075,0.26937028700007715,-0.6017610969204522,-0.276381,0.954228
MASTER_RIGHT_ROT_R21,-0.20215178319639546,-0.202062,0.2876676256939484,-0.011537103082835148,-0.978165,0.439309
MASTER_RIGHT_ROT_R22,0.6469095041081369,0.734305,0.28067620126646764,-2.2730643545159643,-0.511425,0.971058
MASTER_RIGHT_ROT_R23,0.5891101219188976,0.58948,0.1790121998882028,-1.1885394470371964,-0.252932,0.97859
MASTER_RIGHT_ROT_R31,-0.3131202645109992,-0.50874,0.517617465756924,0.5625693285130253,-0.996422,0.691078
MASTER_RIGHT_ROT_R32,-0.412552697323085,-0.429993,0.22818289526244198,1.0323826849358595,-0.941883,0.515047
MASTER_RIGHT_ROT_R33,0.6075214948316988,0.650319,0.20648860742072592,-0.8073671779595525,-0.132325,0.969095
MASTER_RIGHT_LIN_VEL_X,0.00015846488205671885,1e-06,0.0151719365874647,-0.43090620003562674,-0.126905,0.075457
MASTER_RIGHT_LIN_VEL_Y,6.554253909355946e-05,-3e-06,0.017755833791312486,0.3133036561933447,-0.116881,0.107671
MASTER_RIGHT_LIN_VEL_Z,-3.9416909620991157e-05,0.000159,0.02337069213038036,-1.5991571534286795,-0.166813,0.106694
MASTER_RIGHT_ROT_VEL_X,-0.008035083752981714,0.0,0.5772487841997311,-1.424356366260987,-5.815378,4.618351
MASTER_RIGHT_ROT_VEL_Y,-0.004527288364696529,0.0,0.9081160400071887,-0.845060044727266,-7.555534,5.814823
MASTER_RIGHT_ROT_VEL_Z,0.02391073548900079,0.0,0.7948000295656265,0.726946921078926,-5.997855,5.325664
MASTER_RIGHT_GRIPPER_ANGLE,-0.7426789265836204,-1.403221,0.9017290738130058,0.6770981138562671,-1.411177,0.542034
SLAVE_LEFT_POS_X,0.04143644208852372,0.042869,0.006361757476930415,-2.1544283682787366,0.004098,0.053911
SLAVE_LEFT_POS_Y,0.033975844420885234,0.033271,0.010497767601872578,-0.05947737512387132,0.002164,0.05552
SLAVE_LEFT_POS_Z,-0.005417382189239333,-0.005787,0.0127992780050229,-0.4622896472764259,-0.052098,0.021505
SLAVE_LEFT_ROT_R11,-0.5994285989928438,-0.696149,0.34886079332880887,1.272444492055097,-0.999857,0.654025
SLAVE_LEFT_ROT_R12,0.17673097667638485,0.282142,0.5080728676346267,-0.5082612985778898,-0.936905,0.983009
SLAVE_LEFT_ROT_R13,0.4001881380864034,0.508983,0.263774148656616,-0.587957873549044,-0.227239,0.967185
SLAVE_LEFT_ROT_R21,0.09455672727272726,0.069254,0.30320239199884613,0.4844765806631252,-0.441291,0.980623
SLAVE_LEFT_ROT_R22,-0.6745485854757486,-0.77438,0.2618437585144263,2.1663082498070803,-0.999276,0.367172
SLAVE_LEFT_ROT_R23,0.5852301216538563,0.583438,0.1819474123849026,-1.0724881292974522,-0.259079,0.987779
SLAVE_LEFT_ROT_R31,0.42129132706069444,0.636033,0.49065413215557563,-0.7231449654199597,-0.625606,0.99715
SLAVE_LEFT_ROT_R32,0.33953945401537233,0.374584,0.2680810105189679,-1.0165527911621153,-0.675574,0.881639
SLAVE_LEFT_ROT_R33,0.587087830373708,0.645212,0.22369636808913965,-0.7510486002665007,-0.174988,0.96773
SLAVE_LEFT_LIN_VEL_X,6.265465147097802e-05,1e-06,0.0076497661879553315,-0.47836879816733086,-0.063447,0.037836
SLAVE_LEFT_LIN_VEL_Y,-1.3765968725152357e-05,-1.4e-05,0.00880973488951448,0.3504756382835035,-0.057906,0.05706
SLAVE_LEFT_LIN_VEL_Z,1.1120328650940887e-05,0.000108,0.011742100094859143,-1.585296277541835,-0.084671,0.05271
SLAVE_LEFT_ROT_VEL_X,-0.012698191624701831,-9e-06,0.5418297588385208,-1.5445213690049306,-5.457738,4.342918
SLAVE_LEFT_ROT_VEL_Y,-0.01927851868539624,1.6e-05,0.9012012393177209,-0.9214229522482582,-6.553061,6.77455
SLAVE_LEFT_ROT_VEL_Z,0.016329752451630004,2e-06,0.8045347322027826,0.3648822443641582,-5.701421,5.169507
SLAVE_LEFT_GRIPPER_ANGLE,-0.40833560667903523,-0.856747,0.6452669868690823,0.7198489188610119,-0.950312,0.524365
SLAVE_RIGHT_POS_X,0.07673158070500928,0.076432,0.016015504238914558,1.773670893630733,0.046003,0.150699
SLAVE_RIGHT_POS_Y,0.03321284680625497,0.031302,0.01782202013760267,1.4174247471391264,0.005299,0.106999
SLAVE_RIGHT_POS_Z,-0.05005950543334217,-0.054788,0.013109232822312347,0.36421131269957063,-0.082591,-0.019959
SLAVE_RIGHT_ROT_R11,-0.5569619419560031,-0.611718,0.22406469557316805,0.9428417660660666,-0.999521,0.251234
SLAVE_RIGHT_ROT_R12,-0.10468356798303736,-0.124415,0.4611441424632744,0.6084369750157367,-0.894741,0.998327
SLAVE_RIGHT_ROT_R13,-0.574130993639014,-0.64879,0.29400739676211207,1.4874552944418893,-0.986387,0.304851
SLAVE_RIGHT_ROT_R21,-0.15850374184998675,-0.157012,0.31444956924131895,0.11707631632569003,-0.902821,0.707765
SLAVE_RIGHT_ROT_R22,-0.7808803461436523,-0.865795,0.2121994952582543,1.494794373907319,-0.998776,0.143913
SLAVE_RIGHT_ROT_R23,0.3866894818446859,0.384827,0.26780988462358435,-0.08649677064801561,-0.089658,0.857339
SLAVE_RIGHT_ROT_R31,-0.5689979854227406,-0.716236,0.43808283108952056,2.084586245651973,-0.994149,0.775112
SLAVE_RIGHT_ROT_R32,0.2583561232441028,0.285993,0.23434611952144688,-1.1165633781923099,-0.694693,0.834735
SLAVE_RIGHT_ROT_R33,0.5341382287304532,0.621418,0.2782792867919184,-1.8130997239393705,-0.418581,0.954468
SLAVE_RIGHT_LIN_VEL_X,-5.175907765703675e-05,0.0,0.016264527737139975,-1.4653182155692395,-0.107516,0.083969
SLAVE_RIGHT_LIN_VEL_Y,-8.11407368142061e-05,0.0,0.017115423547553833,-1.197765725285472,-0.097435,0.073288
SLAVE_RIGHT_LIN_VEL_Z,-2.122263450834881e-05,-5e-06,0.012541842765336389,1.030824303398858,-0.061088,0.096351
SLAVE_RIGHT_ROT_VEL_X,-0.00139514179697853,2e-06,0.6068380233339224,0.9554459790215872,-5.61849,5.582715
SLAVE_RIGHT_ROT_VEL_Y,-0.021999455075536703,-6e-06,0.7308895776709837,-1.640709673030515,-6.239593,4.646265
SLAVE_RIGHT_ROT_VEL_Z,0.01669092393320965,-1e-06,0.7775462220941439,0.6801301943130872,-6.494118,5.240684
SLAVE_RIGHT_GRIPPER_ANGLE,-0.5202703919957594,-0.801286,0.47590491190096734,1.1009510682661539,-0.957228,0.523491
