Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.061672,0.082557,0.020885000000000008,0.03034449999999999,0.11388450000000001,164,4.760522496371554
MASTER_LEFT_POS_Y,0.000179,0.032061,0.031882,-0.047644000000000006,0.07988400000000001,188,5.457184325108853
MASTER_LEFT_POS_Z,0.404171,0.445544,0.04137299999999999,0.3421115,0.5076035,119,3.4542815674891147
MASTER_LEFT_ROT_R11,-0.617561,-0.293221,0.32434,-1.104071,0.193289,25,0.7256894049346879
MASTER_LEFT_ROT_R12,0.008242,0.763244,0.7550020000000001,-1.124261,1.895747,0,0.0
MASTER_LEFT_ROT_R13,-0.796788,-0.519307,0.2774810000000001,-1.2130095,-0.10308549999999983,149,4.3251088534107405
MASTER_LEFT_ROT_R21,-0.897987,-0.287276,0.610711,-1.8140535,0.6287905,0,0.0
MASTER_LEFT_ROT_R22,-0.872505,-0.223563,0.6489419999999999,-1.8459179999999997,0.7498499999999999,0,0.0
MASTER_LEFT_ROT_R23,0.15081,0.39386,0.24305,-0.21376499999999998,0.758435,0,0.0
MASTER_LEFT_ROT_R31,-0.719872,-0.080239,0.6396329999999999,-1.6793215,0.8792104999999999,0,0.0
MASTER_LEFT_ROT_R32,0.285137,0.629141,0.344004,-0.230869,1.145147,23,0.6676342525399128
MASTER_LEFT_ROT_R33,0.537195,0.804011,0.26681600000000005,0.1369709999999999,1.2042350000000002,76,2.2060957910014514
MASTER_LEFT_LIN_VEL_X,-0.001411,0.003176,0.004587,-0.0082915,0.0100565,1357,39.39042089985486
MASTER_LEFT_LIN_VEL_Y,-0.00329,0.006119,0.009409,-0.017403500000000002,0.0202325,553,16.052249637155295
MASTER_LEFT_LIN_VEL_Z,-0.008649,0.003095,0.011744000000000001,-0.026265,0.020711,600,17.41654571843251
MASTER_LEFT_ROT_VEL_X,-0.034722,0.034557,0.06927900000000001,-0.1386405,0.1384755,881,25.573294629898403
MASTER_LEFT_ROT_VEL_Y,-0.047034,0.032296,0.07933,-0.16602899999999998,0.15129099999999998,1152,33.43976777939042
MASTER_LEFT_ROT_VEL_Z,-0.042361,0.031329,0.07369,-0.152896,0.14186400000000002,1000,29.027576197387518
MASTER_LEFT_GRIPPER_ANGLE,-1.906153,0.125327,2.03148,-4.953373,3.1725470000000002,0,0.0
MASTER_RIGHT_POS_X,-0.101566,-0.075821,0.025745000000000004,-0.14018350000000002,-0.037203499999999994,0,0.0
MASTER_RIGHT_POS_Y,-0.019053,0.013631,0.032684000000000005,-0.068079,0.062657,0,0.0
MASTER_RIGHT_POS_Z,0.385673,0.429615,0.04394200000000004,0.31975999999999993,0.4955280000000001,0,0.0
