Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.136383,0.16202624999999998,0.02564324999999998,0.09791812500000004,0.20049112499999994,142,4.465408805031446
MASTER_LEFT_POS_Y,-0.03331825,0.00058725,0.0339055,-0.08417649999999999,0.05144549999999999,262,8.238993710691824
MASTER_LEFT_POS_Z,0.3242115,0.35713575,0.03292424999999999,0.274825125,0.40652212499999996,42,1.3207547169811322
MASTER_LEFT_ROT_R11,-0.75480075,-0.52806425,0.2267365,-1.0949055,-0.1879595,63,1.9811320754716981
MASTER_LEFT_ROT_R12,-0.27950175,0.26139725,0.540899,-1.09085025,1.0727457500000002,0,0.0
MASTER_LEFT_ROT_R13,-0.7392839999999999,-0.5555129999999999,0.18377100000000002,-1.0149405,-0.2798564999999999,63,1.9811320754716981
MASTER_LEFT_ROT_R21,-0.54526775,-0.0788785,0.46638925000000003,-1.2448516250000001,0.6207053750000001,124,3.89937106918239
MASTER_LEFT_ROT_R22,-0.9099900000000001,-0.703005,0.20698500000000009,-1.2204675000000003,-0.39252749999999986,27,0.8490566037735849
MASTER_LEFT_ROT_R23,0.24216225,0.45146625,0.20930400000000002,-0.07179375000000002,0.7654222500000001,32,1.0062893081761006
MASTER_LEFT_ROT_R31,-0.725792,-0.42329375,0.30249824999999997,-1.179539375,0.03045362499999993,43,1.3522012578616354
MASTER_LEFT_ROT_R32,0.26579875000000003,0.5727085000000001,0.30690975000000004,-0.19456587500000005,1.033073125,143,4.49685534591195
MASTER_LEFT_ROT_R33,0.54298025,0.76291325,0.21993299999999993,0.21308075000000015,1.0928127499999998,161,5.062893081761007
MASTER_LEFT_LIN_VEL_X,-0.000934,0.0010085,0.0019425000000000002,-0.0038477500000000005,0.00392225,1330,41.82389937106918
MASTER_LEFT_LIN_VEL_Y,-0.0034075,0.0059099999999999995,0.0093175,-0.01738375,0.019886249999999998,708,22.264150943396228
MASTER_LEFT_LIN_VEL_Z,-0.004227,0.00507825,0.009305250000000001,-0.018184875000000003,0.019036125,751,23.61635220125786
MASTER_LEFT_ROT_VEL_X,-0.03118025,0.01249925,0.043679499999999996,-0.0966995,0.0780185,1024,32.20125786163522
MASTER_LEFT_ROT_VEL_Y,-0.0522,0.02145175,0.07365175,-0.162677625,0.131929375,1096,34.465408805031444
MASTER_LEFT_ROT_VEL_Z,-0.030373749999999998,0.047455,0.07782875,-0.147116875,0.164198125,1021,32.10691823899371
MASTER_LEFT_GRIPPER_ANGLE,-1.9085065,0.14216299999999998,2.0506695,-4.98451075,3.2181672500000005,0,0.0
MASTER_RIGHT_POS_X,-0.1950065,-0.1724945,0.022512000000000004,-0.2287745,-0.13872649999999997,110,3.459119496855346
MASTER_RIGHT_POS_Y,-0.014982,0.006311499999999999,0.0212935,-0.046922250000000006,0.03825175,37,1.1635220125786163
MASTER_RIGHT_POS_Z,0.308714,0.34414525,0.035431250000000025,0.25556712499999995,0.39729212500000005,0,0.0
MASTER_RIGHT_ROT_R11,-0.89927375,-0.557332,0.34194174999999993,-1.4121863749999999,-0.04441937500000015,46,1.4465408805031448
MASTER_RIGHT_ROT_R12,-0.52876575,0.39711825,0.925884,-1.9175917500000002,1.78594425,0,0.0
MASTER_RIGHT_ROT_R13,0.1337555,0.51871675,0.3849612499999999,-0.44368637499999986,1.0961586249999997,0,0.0
