Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.13308550000000002,0.16556749999999998,0.032481999999999955,0.08436250000000009,0.2142904999999999,0,0.0
MASTER_LEFT_POS_Y,-0.03639,-0.014839,0.021551,-0.0687165,0.017487500000000003,0,0.0
MASTER_LEFT_POS_Z,0.307531,0.325068,0.017537000000000025,0.28122549999999996,0.35137350000000006,153,8.600337268128163
MASTER_LEFT_ROT_R11,-0.8225260000000001,-0.5505709999999999,0.27195500000000017,-1.2304585000000003,-0.14263849999999967,10,0.5621135469364812
MASTER_LEFT_ROT_R12,0.40420049999999996,0.6869015,0.2827010000000001,-0.019851000000000174,1.1109530000000003,47,2.641933670601462
MASTER_LEFT_ROT_R13,-0.43945449999999997,-0.1461095,0.29334499999999997,-0.8794719999999999,0.29390799999999995,205,11.523327712197865
MASTER_LEFT_ROT_R21,-0.7155765000000001,-0.39572399999999996,0.3198525000000001,-1.1953552500000002,0.08405475000000018,0,0.0
MASTER_LEFT_ROT_R22,-0.901935,-0.674164,0.22777100000000006,-1.2435915000000002,-0.3325074999999999,0,0.0
MASTER_LEFT_ROT_R23,-0.10321749999999999,0.20599050000000002,0.30920800000000004,-0.5670295000000001,0.6698025000000001,0,0.0
MASTER_LEFT_ROT_R31,-0.369486,-0.0112885,0.3581975,-0.90678225,0.52600775,112,6.29567172568859
MASTER_LEFT_ROT_R32,0.167268,0.272805,0.10553700000000002,0.008962499999999957,0.43111050000000006,136,7.644744238336145
MASTER_LEFT_ROT_R33,0.8846355,0.9619605,0.07732499999999998,0.768648,1.077948,347,19.505340078695895
MASTER_LEFT_LIN_VEL_X,-0.000336,0.0024725,0.0028085,-0.00454875,0.006685249999999999,747,41.989881956155145
MASTER_LEFT_LIN_VEL_Y,-0.0029185,0.004991,0.0079095,-0.01478275,0.01685525,368,20.685778527262507
MASTER_LEFT_LIN_VEL_Z,-0.005681,0.006299,0.011980000000000001,-0.023651,0.024269,441,24.78920741989882
MASTER_LEFT_ROT_VEL_X,-0.0220635,0.013582,0.0356455,-0.07553175,0.06705024999999999,532,29.904440697020796
MASTER_LEFT_ROT_VEL_Y,-0.06271399999999999,0.015890500000000002,0.0786045,-0.18062075,0.13379724999999998,482,27.093872962338395
MASTER_LEFT_ROT_VEL_Z,-0.0257195,0.060418,0.0861375,-0.15492575000000003,0.18962425000000002,457,25.688589094997187
MASTER_LEFT_GRIPPER_ANGLE,-1.676818,-0.3211805,1.3556374999999998,-3.7102742499999994,1.7122757499999994,0,0.0
MASTER_RIGHT_POS_X,-0.18603599999999998,-0.1554735,0.030562499999999992,-0.23187974999999997,-0.10962975,37,2.0798201236649803
MASTER_RIGHT_POS_Y,-0.028061,0.0008604999999999999,0.0289215,-0.07144325,0.04424275,0,0.0
MASTER_RIGHT_POS_Z,0.304686,0.33283850000000004,0.028152500000000025,0.26245725,0.3750672500000001,0,0.0
MASTER_RIGHT_ROT_R11,-0.9344105,-0.37282000000000004,0.5615905,-1.77679625,0.46956575,60,3.372681281618887
MASTER_RIGHT_ROT_R12,-0.2206795,0.7130365000000001,0.9337160000000001,-1.6212535000000001,2.1136105,0,0.0
MASTER_RIGHT_ROT_R13,0.049909499999999996,0.4459325,0.396023,-0.544125,1.039967,0,0.0
MASTER_RIGHT_ROT_R21,-0.374342,0.235938,0.61028,-1.289762,1.151358,0,0.0
MASTER_RIGHT_ROT_R22,-0.715819,-0.497306,0.21851299999999996,-1.0435884999999998,-0.1695365000000001,44,2.4732996065205173
MASTER_RIGHT_ROT_R23,0.5998870000000001,0.7880655,0.18817849999999992,0.3176192500000002,1.0703332499999998,13,0.7307476110174256
MASTER_RIGHT_ROT_R31,0.017135499999999998,0.7607225,0.743587,-1.0982450000000001,1.876103,0,0.0
MASTER_RIGHT_ROT_R32,0.158249,0.686643,0.528394,-0.6343420000000001,1.479234,64,3.5975267003934794
MASTER_RIGHT_ROT_R33,0.5272064999999999,0.7123105,0.18510400000000005,0.24955049999999984,0.9899665,67,3.7661607644744235
MASTER_RIGHT_LIN_VEL_X,-0.0136295,0.014029,0.0276585,-0.05511724999999999,0.05551675,223,12.53513209668353
