Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.144628,0.168441,0.023813,0.1089085,0.20416050000000002,7,0.2687140115163148
MASTER_LEFT_POS_Y,-0.035009,-0.019933,0.015075999999999999,-0.057622999999999994,0.0026809999999999994,309,11.861804222648754
MASTER_LEFT_POS_Z,0.296894,0.339652,0.04275800000000002,0.23275699999999996,0.40378900000000006,66,2.5335892514395395
MASTER_LEFT_ROT_R11,-0.841069,-0.677873,0.163196,-1.085863,-0.43307899999999994,363,13.934740882917465
MASTER_LEFT_ROT_R12,-0.394273,0.105356,0.499629,-1.1437165,0.8547994999999999,23,0.8829174664107486
MASTER_LEFT_ROT_R13,-0.606701,-0.402239,0.20446200000000003,-0.913394,-0.09554599999999996,139,5.335892514395393
MASTER_LEFT_ROT_R21,-0.335679,0.158375,0.494054,-1.07676,0.899456,0,0.0
MASTER_LEFT_ROT_R22,-0.902521,-0.784728,0.11779300000000004,-1.0792105,-0.6080384999999999,180,6.90978886756238
MASTER_LEFT_ROT_R23,0.319885,0.500979,0.18109399999999998,0.04824400000000001,0.7726199999999999,35,1.3435700575815739
MASTER_LEFT_ROT_R31,-0.642017,-0.393202,0.24881499999999995,-1.0152394999999999,-0.019979500000000094,218,8.36852207293666
MASTER_LEFT_ROT_R32,0.199584,0.420771,0.221187,-0.13219649999999997,0.7525515,337,12.936660268714013
MASTER_LEFT_ROT_R33,0.640994,0.811954,0.17096,0.38455399999999995,1.068394,287,11.017274472168905
MASTER_LEFT_LIN_VEL_X,-0.000341,0.000284,0.000625,-0.0012785,0.0012215,980,37.61996161228407
MASTER_LEFT_LIN_VEL_Y,-0.001891,0.001959,0.00385,-0.007666000000000001,0.007734,748,28.71401151631478
MASTER_LEFT_LIN_VEL_Z,-0.002101,0.003355,0.005456,-0.010285,0.011539,838,32.16890595009597
MASTER_LEFT_ROT_VEL_X,-0.000727,0.018497,0.019223999999999998,-0.029562999999999996,0.047333,997,38.272552783109404
MASTER_LEFT_ROT_VEL_Y,-0.014038,0.020517,0.034555,-0.0658705,0.07234950000000001,1015,38.963531669865645
MASTER_LEFT_ROT_VEL_Z,-0.003766,0.050904,0.054669999999999996,-0.085771,0.132909,768,29.481765834932823
MASTER_LEFT_GRIPPER_ANGLE,-1.64868,0.41615,2.0648299999999997,-4.745925,3.5133949999999996,0,0.0
MASTER_RIGHT_POS_X,-0.18609,-0.16113,0.02496000000000001,-0.22353,-0.12368999999999998,0,0.0
MASTER_RIGHT_POS_Y,-0.048059,-0.003108,0.044951,-0.11548549999999999,0.0643185,0,0.0
MASTER_RIGHT_POS_Z,0.298845,0.316409,0.01756399999999997,0.27249900000000005,0.3427549999999999,95,3.6468330134357005
MASTER_RIGHT_ROT_R11,-0.829154,-0.533809,0.29534499999999997,-1.2721714999999998,-0.09079150000000002,200,7.677543186180421
MASTER_RIGHT_ROT_R12,-0.420656,0.528357,0.9490129999999999,-1.8441754999999997,1.9518764999999998,0,0.0
MASTER_RIGHT_ROT_R13,0.293174,0.583294,0.29012,-0.14200600000000002,1.0184739999999999,0,0.0
MASTER_RIGHT_ROT_R21,-0.264959,0.491727,0.756686,-1.3999879999999998,1.6267559999999999,0,0.0
MASTER_RIGHT_ROT_R22,-0.831334,-0.470039,0.36129500000000003,-1.3732765,0.07190350000000001,129,4.952015355086373
MASTER_RIGHT_ROT_R23,0.344442,0.710924,0.366482,-0.20528099999999994,1.260647,0,0.0
MASTER_RIGHT_ROT_R31,0.019722,0.734152,0.71443,-1.051923,1.805797,0,0.0
MASTER_RIGHT_ROT_R32,0.166234,0.613834,0.4476,-0.505166,1.285234,10,0.3838771593090211
MASTER_RIGHT_ROT_R33,0.549476,0.700111,0.15063500000000007,0.32352349999999985,0.9260635000000002,168,6.449136276391555
MASTER_RIGHT_LIN_VEL_X,-0.000126,0.000877,0.001003,-0.0016305,0.0023815,997,38.272552783109404
MASTER_RIGHT_LIN_VEL_Y,-0.002104,0.002088,0.0041919999999999995,-0.008392,0.008376,599,22.994241842610364
MASTER_RIGHT_LIN_VEL_Z,-0.001481,0.004008,0.005489,-0.0097145,0.012241499999999999,594,22.802303262955853
MASTER_RIGHT_ROT_VEL_X,-0.005224,0.022439,0.027663,-0.0467185,0.0639335,808,31.017274472168904
MASTER_RIGHT_ROT_VEL_Y,-0.03143,0.014239,0.045669,-0.0999335,0.0827425,881,33.81957773512476
MASTER_RIGHT_ROT_VEL_Z,-0.042761,0.025221,0.067982,-0.144734,0.127194,757,29.059500959692897
MASTER_RIGHT_GRIPPER_ANGLE,-1.402198,0.17116,1.573358,-3.7622350000000004,2.531197,0,0.0
SLAVE_LEFT_POS_X,0.033859,0.046333,0.012473999999999999,0.015148000000000002,0.06504399999999999,0,0.0
SLAVE_LEFT_POS_Y,0.030167,0.052638,0.022470999999999998,-0.003539500000000001,0.08634449999999999,0,0.0
SLAVE_LEFT_POS_Z,-0.007771,0.001014,0.008785,-0.0209485,0.014191499999999998,95,3.6468330134357005
SLAVE_LEFT_ROT_R11,0.51981,0.835279,0.315469,0.046606499999999995,1.3084825,182,6.9865642994241846
SLAVE_LEFT_ROT_R12,-0.546607,0.398099,0.9447059999999999,-1.963666,1.8151579999999998,0,0.0
SLAVE_LEFT_ROT_R13,0.269855,0.572307,0.302452,-0.18382300000000001,1.025985,0,0.0
SLAVE_LEFT_ROT_R21,-0.463032,0.316629,0.7796609999999999,-1.6325235,1.4861205,0,0.0
SLAVE_LEFT_ROT_R22,0.479087,0.83412,0.355033,-0.053462500000000024,1.3666695,128,4.913627639155471
SLAVE_LEFT_ROT_R23,0.32959,0.707514,0.377924,-0.237296,1.2744,0,0.0
SLAVE_LEFT_ROT_R31,-0.717481,-0.028862,0.6886190000000001,-1.7504095000000002,1.0040665000000002,0,0.0
SLAVE_LEFT_ROT_R32,-0.610939,-0.126883,0.48405600000000004,-1.337023,0.5992010000000001,0,0.0
SLAVE_LEFT_ROT_R33,0.568223,0.723266,0.15504299999999993,0.33565850000000014,0.9558304999999998,68,2.6103646833013436
SLAVE_LEFT_LIN_VEL_X,-7.6e-05,0.000439,0.000515,-0.0008485000000000001,0.0012115000000000001,976,37.466410748560456
SLAVE_LEFT_LIN_VEL_Y,-0.001086,0.001077,0.002163,-0.0043305,0.0043215,606,23.26295585412668
SLAVE_LEFT_LIN_VEL_Z,-0.000792,0.002162,0.002954,-0.005223,0.006593,543,20.844529750479847
SLAVE_LEFT_ROT_VEL_X,-0.013004,0.01351,0.026514,-0.052775,0.053281,833,31.97696737044146
SLAVE_LEFT_ROT_VEL_Y,-0.028348,0.015622,0.04397,-0.094303,0.081577,914,35.08637236084453
SLAVE_LEFT_ROT_VEL_Z,-0.039897,0.024967,0.064864,-0.137193,0.12226300000000001,824,31.63147792706334
SLAVE_LEFT_GRIPPER_ANGLE,-0.935943,0.04478,0.980723,-2.4070275,1.5158645,0,0.0
SLAVE_RIGHT_POS_X,0.074789,0.086707,0.011918000000000012,0.056911999999999976,0.10458400000000002,7,0.2687140115163148
SLAVE_RIGHT_POS_Y,0.033115,0.040654,0.007539000000000004,0.021806499999999993,0.05196250000000001,309,11.861804222648754
SLAVE_RIGHT_POS_Z,-0.056935,-0.035553,0.021381999999999998,-0.089008,-0.003480000000000004,66,2.5335892514395395
SLAVE_RIGHT_ROT_R11,0.660291,0.821464,0.161173,0.41853149999999995,1.0632234999999999,363,13.934740882917465
SLAVE_RIGHT_ROT_R12,-0.018684,0.475102,0.493786,-0.759363,1.215781,24,0.9213051823416507
SLAVE_RIGHT_ROT_R13,-0.594147,-0.391093,0.20305399999999996,-0.898728,-0.08651200000000009,140,5.3742802303262955
SLAVE_RIGHT_ROT_R21,-0.266091,0.231024,0.49711500000000003,-1.0117635,0.9766965000000001,0,0.0
SLAVE_RIGHT_ROT_R22,0.775099,0.890813,0.11571399999999998,0.6015280000000001,1.064384,212,8.138195777351248
SLAVE_RIGHT_ROT_R23,0.313264,0.497965,0.184701,0.03621249999999998,0.7750165,35,1.3435700575815739
SLAVE_RIGHT_ROT_R31,0.423499,0.66202,0.23852100000000004,0.06571749999999993,1.0198015000000002,228,8.752399232245683
SLAVE_RIGHT_ROT_R32,-0.365736,-0.131823,0.233913,-0.7166055,0.2190465,341,13.09021113243762
SLAVE_RIGHT_ROT_R33,0.650123,0.820259,0.17013599999999995,0.3949190000000001,1.0754629999999998,287,11.017274472168905
SLAVE_RIGHT_LIN_VEL_X,-0.000169,0.000167,0.000336,-0.000673,0.0006709999999999999,991,38.042226487524
SLAVE_RIGHT_LIN_VEL_Y,-0.000897,0.001137,0.0020340000000000002,-0.003948,0.004188000000000001,740,28.406909788867562
SLAVE_RIGHT_LIN_VEL_Z,-0.001324,0.00137,0.002694,-0.005365,0.005411,848,32.55278310940499
SLAVE_RIGHT_ROT_VEL_X,-0.005841,0.011318,0.017159,-0.0315795,0.0370565,1059,40.65259117082534
SLAVE_RIGHT_ROT_VEL_Y,-0.015213,0.01484,0.030053000000000003,-0.06029250000000001,0.05991950000000001,1027,39.424184261036466
SLAVE_RIGHT_ROT_VEL_Z,-0.002646,0.052303,0.054949000000000005,-0.0850695,0.13472650000000003,802,30.786948176583493
SLAVE_RIGHT_GRIPPER_ANGLE,-0.973721,0.367385,1.341106,-2.9853799999999997,2.379044,0,0.0
