Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.069202,0.091383,0.022181000000000006,0.03593049999999999,0.12465450000000002,129,5.695364238410596
MASTER_LEFT_POS_Y,0.014907,0.050986,0.036079,-0.039211499999999996,0.10510449999999999,132,5.827814569536424
MASTER_LEFT_POS_Z,0.350851,0.397815,0.04696399999999995,0.2804050000000001,0.4682609999999999,53,2.3399558498896247
MASTER_LEFT_ROT_R11,-0.74108,-0.511161,0.22991899999999998,-1.0859584999999998,-0.1662825,210,9.271523178807946
MASTER_LEFT_ROT_R12,0.010105,0.582027,0.5719219999999999,-0.8477779999999999,1.4399099999999998,0,0.0
MASTER_LEFT_ROT_R13,-0.659316,-0.423119,0.236197,-1.0136115,-0.06882350000000004,8,0.35320088300220753
MASTER_LEFT_ROT_R21,-0.765365,-0.268757,0.49660799999999994,-1.5102769999999999,0.4761549999999999,0,0.0
MASTER_LEFT_ROT_R22,-0.887675,-0.61485,0.272825,-1.2969125,-0.20561250000000003,90,3.9735099337748347
MASTER_LEFT_ROT_R23,0.054978,0.257721,0.20274299999999998,-0.24913649999999996,0.5618354999999999,76,3.3554083885209716
MASTER_LEFT_ROT_R31,-0.551204,-0.199516,0.351688,-1.0787360000000001,0.328016,75,3.3112582781456954
MASTER_LEFT_ROT_R32,0.201976,0.540814,0.33883800000000003,-0.3062810000000001,1.049071,0,0.0
MASTER_LEFT_ROT_R33,0.681422,0.858758,0.17733600000000005,0.4154179999999999,1.124762,156,6.887417218543046
MASTER_LEFT_LIN_VEL_X,-0.009542,0.003347,0.012889000000000001,-0.028875500000000005,0.022680500000000003,480,21.192052980132452
MASTER_LEFT_LIN_VEL_Y,-0.005605,0.008496,0.014100999999999999,-0.026756499999999996,0.029647499999999997,475,20.97130242825607
MASTER_LEFT_LIN_VEL_Z,-0.004699,0.010094,0.014793,-0.026888500000000003,0.0322835,555,24.503311258278146
MASTER_LEFT_ROT_VEL_X,-0.035673,0.015885,0.05155800000000001,-0.11301000000000003,0.09322200000000001,757,33.42163355408388
MASTER_LEFT_ROT_VEL_Y,-0.063395,0.033833,0.09722800000000001,-0.20923700000000003,0.17967500000000003,683,30.154525386313463
MASTER_LEFT_ROT_VEL_Z,-0.04424,0.061237,0.105477,-0.2024555,0.2194525,623,27.50551876379691
MASTER_LEFT_GRIPPER_ANGLE,-1.71745,0.047241,1.764691,-4.3644865,2.6942775,0,0.0
MASTER_RIGHT_POS_X,-0.110082,-0.097402,0.012679999999999997,-0.129102,-0.07838200000000001,173,7.637969094922738
MASTER_RIGHT_POS_Y,0.035088,0.065662,0.030573999999999997,-0.010772999999999998,0.111523,0,0.0
MASTER_RIGHT_POS_Z,0.322486,0.365164,0.042677999999999994,0.258469,0.429181,0,0.0
MASTER_RIGHT_ROT_R11,0.451073,0.814411,0.363338,-0.09393400000000002,1.359418,8,0.35320088300220753
MASTER_RIGHT_ROT_R12,-0.225339,0.768635,0.9939739999999999,-1.7163,2.259596,0,0.0
MASTER_RIGHT_ROT_R13,0.033293,0.618427,0.5851339999999999,-0.8444079999999998,1.4961279999999997,0,0.0
MASTER_RIGHT_ROT_R21,-0.747218,0.171568,0.9187860000000001,-2.1253970000000004,1.5497470000000002,0,0.0
