Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.0847855,0.100441,0.015655500000000003,0.061302249999999996,0.12392425000000001,411,16.748166259168702
MASTER_LEFT_POS_Y,0.0240515,0.049653499999999996,0.025601999999999996,-0.014351499999999993,0.08805649999999998,36,1.466992665036675
MASTER_LEFT_POS_Z,0.39759575,0.4225645,0.024968749999999984,0.36014262500000005,0.460017625,70,2.852485737571312
MASTER_LEFT_ROT_R11,-0.440801,-0.23759025,0.20321075,-0.745617125,0.06722587499999999,136,5.541972290138549
MASTER_LEFT_ROT_R12,0.006262,0.4665945,0.46033250000000003,-0.6842367500000001,1.15709325,0,0.0
MASTER_LEFT_ROT_R13,-0.9561775,-0.6649277499999999,0.2912497500000001,-1.393052125,-0.2280531249999998,299,12.184189079054605
MASTER_LEFT_ROT_R21,-0.638893,-0.183261,0.45563200000000004,-1.3223410000000002,0.500187,0,0.0
MASTER_LEFT_ROT_R22,-0.96014125,-0.74102525,0.21911599999999998,-1.2888152499999999,-0.41235125,273,11.124694376528117
MASTER_LEFT_ROT_R23,-0.0496015,0.16067475,0.21027625,-0.36501587500000005,0.476089125,0,0.0
MASTER_LEFT_ROT_R31,-0.93257525,-0.5693552500000001,0.3632199999999999,-1.47740525,-0.024525250000000276,364,14.832925835370823
MASTER_LEFT_ROT_R32,0.05504325,0.36773325,0.31269,-0.41399175000000005,0.83676825,19,0.7742461287693562
MASTER_LEFT_ROT_R33,0.2662335,0.72051725,0.45428375,-0.4151921249999999,1.401942875,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.00084525,0.00867475,0.00952,-0.015125250000000002,0.022954750000000003,591,24.08312958435208
MASTER_LEFT_LIN_VEL_Y,-0.0028775000000000003,0.004736499999999999,0.007613999999999999,-0.014298499999999999,0.016157499999999998,473,19.274653626731865
MASTER_LEFT_LIN_VEL_Z,-0.00123925,0.004652750000000001,0.0058920000000000005,-0.01007725,0.013490750000000001,621,25.305623471882637
MASTER_LEFT_ROT_VEL_X,-0.033353,0.01022525,0.04357825,-0.098720375,0.07559262500000001,659,26.854115729421352
MASTER_LEFT_ROT_VEL_Y,-0.028642,0.03264125,0.06128325,-0.12056687499999999,0.12456612499999999,833,33.94458027709861
MASTER_LEFT_ROT_VEL_Z,-0.028899499999999998,0.06168725,0.09058675,-0.16477962499999999,0.197567375,685,27.913610431947838
MASTER_LEFT_GRIPPER_ANGLE,-0.44507525000000003,0.41004175,0.855117,-1.7277507500000002,1.69271725,0,0.0
MASTER_RIGHT_POS_X,-0.111918,-0.1006345,0.011283500000000002,-0.12884325000000002,-0.08370925,17,0.6927465362673186
MASTER_RIGHT_POS_Y,0.040129,0.06602925000000001,0.025900250000000014,0.0012786249999999777,0.10487962500000003,0,0.0
MASTER_RIGHT_POS_Z,0.36429325,0.39106125,0.026768000000000014,0.32414125,0.43121325000000005,0,0.0
MASTER_RIGHT_ROT_R11,0.13740575,0.30296025,0.1655545,-0.110926,0.551292,87,3.5452322738386304
MASTER_RIGHT_ROT_R12,-0.05612,0.28488399999999997,0.341004,-0.567626,0.7963899999999999,260,10.594947025264874
MASTER_RIGHT_ROT_R13,0.8768285,0.95918225,0.08235375,0.753297875,1.082712875,433,17.644661776691116
MASTER_RIGHT_ROT_R21,-0.91534775,-0.813183,0.10216475000000003,-1.068594875,-0.659935875,193,7.864710676446618
MASTER_RIGHT_ROT_R22,0.34846924999999995,0.49291474999999996,0.1444455,0.13180099999999995,0.709583,352,14.343928280358597
MASTER_RIGHT_ROT_R23,0.0017595,0.30512325,0.30336375,-0.453286125,0.760168875,78,3.1784841075794623
MASTER_RIGHT_ROT_R31,-0.5054704999999999,-0.331826,0.17364449999999992,-0.7659372499999998,-0.07135925000000015,251,10.228198859005705
MASTER_RIGHT_ROT_R32,-0.8885925,-0.72293425,0.16565825,-1.137079875,-0.474446875,197,8.027709861450692
MASTER_RIGHT_ROT_R33,0.09954975,0.3331305,0.23358075,-0.250821375,0.683501625,321,13.080684596577017
MASTER_RIGHT_LIN_VEL_X,-0.00132775,0.0011952500000000001,0.002523,-0.0051122500000000005,0.00497975,970,39.52730236348818
MASTER_RIGHT_LIN_VEL_Y,-0.00250375,0.0022505,0.00475425,-0.009635125,0.009381875,426,17.359413202933986
MASTER_RIGHT_LIN_VEL_Z,-0.000677,0.0019642500000000003,0.0026412500000000004,-0.004638875,0.005926125000000001,733,29.86960065199674
MASTER_RIGHT_ROT_VEL_X,-0.026181,0.014215,0.040396,-0.086775,0.074809,655,26.691116544417277
MASTER_RIGHT_ROT_VEL_Y,-0.01834975,0.041249,0.059598750000000006,-0.107747875,0.130647125,899,36.63406682966585
MASTER_RIGHT_ROT_VEL_Z,-0.025926,0.04997775,0.07590375,-0.13978162500000002,0.163833375,746,30.399348003259984
MASTER_RIGHT_GRIPPER_ANGLE,-0.7158439999999999,0.50536575,1.2212097499999999,-2.5476586249999995,2.337180375,0,0.0
SLAVE_LEFT_POS_X,0.03395025,0.039592499999999996,0.0056422499999999945,0.02548687500000001,0.048055874999999984,17,0.6927465362673186
SLAVE_LEFT_POS_Y,0.037839,0.05079,0.012951000000000004,0.01841249999999999,0.07021650000000002,0,0.0
SLAVE_LEFT_POS_Z,-0.0026725,0.01070775,0.01338025,-0.022742875000000003,0.030778125000000003,0,0.0
SLAVE_LEFT_ROT_R11,-0.133095,0.02700325,0.16009825,-0.373242375,0.267150625,128,5.215973920130399
SLAVE_LEFT_ROT_R12,-0.404769,-0.07087,0.333899,-0.9056175,0.42997850000000004,195,7.946210268948656
SLAVE_LEFT_ROT_R13,0.88977375,0.982114,0.09234025000000001,0.751263375,1.120624375,491,20.008149959250204
SLAVE_LEFT_ROT_R21,0.8443135,0.9117554999999999,0.06744199999999989,0.7431505000000003,1.0129184999999998,261,10.635696821515893
SLAVE_LEFT_ROT_R22,-0.49514349999999996,-0.33519275,0.15995074999999997,-0.735069625,-0.09526662500000002,356,14.506927465362674
SLAVE_LEFT_ROT_R23,-0.19966475,0.09720175,0.29686650000000003,-0.6449645,0.5425015000000001,83,3.382233088834556
SLAVE_LEFT_ROT_R31,0.36048874999999997,0.50566975,0.14518100000000006,0.14271724999999988,0.7234412500000001,212,8.638956805215974
SLAVE_LEFT_ROT_R32,0.7188712500000001,0.8748835,0.15601224999999996,0.4848528750000001,1.108901875,287,11.695191524042379
SLAVE_LEFT_ROT_R33,0.104875,0.35392650000000003,0.24905150000000004,-0.2687022500000001,0.7275037500000001,267,10.880195599022006
SLAVE_LEFT_LIN_VEL_X,-0.000634,0.00066325,0.00129725,-0.002579875,0.0026091250000000003,954,38.87530562347188
SLAVE_LEFT_LIN_VEL_Y,-0.0012175,0.00112075,0.00233825,-0.004724875,0.004628125,452,18.418907905460472
SLAVE_LEFT_LIN_VEL_Z,-0.00035275,0.0010167499999999999,0.0013694999999999998,-0.0024069999999999994,0.0030709999999999995,742,30.23634881825591
SLAVE_LEFT_ROT_VEL_X,-0.025505,0.01415875,0.03966375,-0.085000625,0.073654375,691,28.15810920945395
SLAVE_LEFT_ROT_VEL_Y,-0.0191285,0.02988325,0.04901175,-0.092646125,0.103400875,926,37.73431132844336
SLAVE_LEFT_ROT_VEL_Z,-0.0259355,0.04049975,0.06643525,-0.125588375,0.140152625,831,33.863080684596575
SLAVE_LEFT_GRIPPER_ANGLE,-0.77032525,0.501667,1.2719922499999998,-2.6783136249999995,2.409655375,0,0.0
SLAVE_RIGHT_POS_X,0.07990950000000001,0.08774,0.00783049999999999,0.06816375000000002,0.09948574999999998,411,16.748166259168702
SLAVE_RIGHT_POS_Y,0.03465575,0.04745525,0.012799499999999998,0.015456500000000001,0.06665449999999999,36,1.466992665036675
