Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.0762285,0.09706000000000001,0.020831500000000003,0.04498125,0.12830725,421,12.40058910162003
MASTER_LEFT_POS_Y,0.006651499999999999,0.024016500000000003,0.017365000000000005,-0.01939600000000001,0.05006400000000001,0,0.0
MASTER_LEFT_POS_Z,0.33731849999999997,0.39544100000000004,0.05812250000000008,0.25013474999999985,0.48262475000000016,0,0.0
MASTER_LEFT_ROT_R11,-0.8253595,-0.398488,0.4268715,-1.46566675,0.24181924999999999,198,5.832106038291605
MASTER_LEFT_ROT_R12,-0.5952375000000001,0.36226,0.9574975000000001,-2.0314837500000005,1.7985062500000002,0,0.0
MASTER_LEFT_ROT_R13,-0.6312615,-0.280499,0.35076250000000003,-1.15740525,0.24564475000000002,0,0.0
MASTER_LEFT_ROT_R21,-0.49041100000000004,0.1437455,0.6341565,-1.4416457500000002,1.09498025,0,0.0
MASTER_LEFT_ROT_R22,-0.7807364999999999,-0.5089995,0.2717369999999999,-1.1883419999999998,-0.1013940000000002,254,7.48159057437408
MASTER_LEFT_ROT_R23,0.293079,0.71973,0.426651,-0.34689749999999997,1.3597065,0,0.0
MASTER_LEFT_ROT_R31,-0.7398579999999999,-0.132785,0.607073,-1.6504675,0.7778244999999999,0,0.0
MASTER_LEFT_ROT_R32,0.3066095,0.5920160000000001,0.2854065000000001,-0.1215002500000002,1.0201257500000003,242,7.128129602356406
MASTER_LEFT_ROT_R33,0.5506115,0.7626735,0.21206199999999997,0.23251850000000007,1.0807665,3,0.08836524300441827
MASTER_LEFT_LIN_VEL_X,-0.0014305,0.002189,0.0036195,-0.0068597499999999995,0.00761825,1421,41.855670103092784
MASTER_LEFT_LIN_VEL_Y,-0.0027270000000000003,0.0025275000000000002,0.0052545000000000005,-0.01060875,0.01040925,840,24.742268041237114
MASTER_LEFT_LIN_VEL_Z,-0.0022695,0.0026474999999999997,0.0049169999999999995,-0.009644999999999999,0.010022999999999999,1094,32.22385861561119
MASTER_LEFT_ROT_VEL_X,-0.008898,0.0045895,0.0134875,-0.02912925,0.02482075,1447,42.62150220913107
MASTER_LEFT_ROT_VEL_Y,-0.019646,0.016008,0.035654000000000005,-0.07312700000000001,0.06948900000000001,1198,35.28718703976436
MASTER_LEFT_ROT_VEL_Z,-0.025715,0.029553,0.055268,-0.108617,0.112455,1052,30.986745213549337
MASTER_LEFT_GRIPPER_ANGLE,-1.8433220000000001,0.289234,2.132556,-5.042156,3.488068,0,0.0
MASTER_RIGHT_POS_X,-0.115761,-0.090517,0.025244000000000003,-0.153627,-0.052650999999999996,52,1.531664212076583
MASTER_RIGHT_POS_Y,0.021993,0.047944,0.025951000000000002,-0.016933500000000004,0.0868705,0,0.0
MASTER_RIGHT_POS_Z,0.3221425,0.35918649999999996,0.037043999999999966,0.26657650000000005,0.4147524999999999,15,0.4418262150220913
MASTER_RIGHT_ROT_R11,0.6842634999999999,0.8775360000000001,0.19327250000000018,0.39435474999999964,1.1674447500000005,384,11.310751104565538
MASTER_RIGHT_ROT_R12,-0.44049150000000004,0.18353049999999999,0.6240220000000001,-1.3765245000000002,1.1195635000000002,0,0.0
MASTER_RIGHT_ROT_R13,0.276987,0.5240715,0.24708450000000004,-0.09363975000000008,0.89469825,246,7.245949926362298
MASTER_RIGHT_ROT_R21,-0.2394145,0.0782915,0.317706,-0.7159734999999999,0.5548504999999999,175,5.154639175257731
MASTER_RIGHT_ROT_R22,0.4964185,0.748426,0.25200750000000005,0.11840724999999991,1.1264372500000002,86,2.5331369661266567
MASTER_RIGHT_ROT_R23,0.606881,0.8397785,0.23289749999999998,0.25753475000000003,1.18912475,378,11.134020618556702
MASTER_RIGHT_ROT_R31,-0.6802155000000001,-0.1829495,0.4972660000000001,-1.4261145000000002,0.5629495000000001,0,0.0
MASTER_RIGHT_ROT_R32,-0.7478145,-0.41379449999999995,0.3340200000000001,-1.2488445000000001,0.08723550000000013,6,0.17673048600883653
MASTER_RIGHT_ROT_R33,0.4295155,0.613346,0.18383049999999995,0.1537697500000001,0.8890917499999998,245,7.216494845360824
MASTER_RIGHT_LIN_VEL_X,-0.0030225,0.0036905,0.006713,-0.013092,0.013760000000000001,921,27.128129602356406
MASTER_RIGHT_LIN_VEL_Y,-0.0036205,0.0038815,0.007502,-0.0148735,0.015134499999999999,494,14.550810014727542
MASTER_RIGHT_LIN_VEL_Z,-0.002172,0.0068135,0.0089855,-0.01565025,0.02029175,690,20.3240058910162
MASTER_RIGHT_ROT_VEL_X,-0.025558499999999998,0.0206145,0.046173,-0.094818,0.08987400000000001,959,28.24742268041237
MASTER_RIGHT_ROT_VEL_Y,-0.0322385,0.030102499999999997,0.062341,-0.12575,0.123614,966,28.45360824742268
MASTER_RIGHT_ROT_VEL_Z,-0.047669500000000004,0.029245,0.0769145,-0.16304125,0.14461675,904,26.62739322533137
MASTER_RIGHT_GRIPPER_ANGLE,-1.4010544999999999,0.220521,1.6215754999999998,-3.8334177499999997,2.65288425,0,0.0
SLAVE_LEFT_POS_X,0.036153500000000005,0.048763,0.012609499999999996,0.01723925000000001,0.06767725,52,1.531664212076583
SLAVE_LEFT_POS_Y,0.0289175,0.041914,0.012996500000000001,0.009422749999999997,0.06140875,0,0.0
SLAVE_LEFT_POS_Z,-0.020482,-0.001958,0.018524,-0.048268,0.025827999999999997,15,0.4418262150220913
SLAVE_LEFT_ROT_R11,-0.854478,-0.6668425,0.18763549999999996,-1.1359312499999998,-0.38538925000000007,388,11.428571428571429
SLAVE_LEFT_ROT_R12,-0.213562,0.39998449999999997,0.6135465,-1.13388175,1.32030425,0,0.0
SLAVE_LEFT_ROT_R13,0.319376,0.5697924999999999,0.25041649999999993,-0.0562487499999999,0.9454172499999998,217,6.391752577319587
SLAVE_LEFT_ROT_R21,-0.0292295,0.28722349999999996,0.316453,-0.5039089999999999,0.761903,168,4.948453608247423
SLAVE_LEFT_ROT_R22,-0.772289,-0.531848,0.24044100000000002,-1.1329505,-0.17118649999999996,88,2.5920471281296025
