Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.11244275000000001,0.130801,0.018358249999999993,0.08490537500000002,0.15833837499999998,582,15.603217158176944
MASTER_LEFT_POS_Y,0.000143,0.02607925,0.025936249999999998,-0.038761375,0.06498362499999999,442,11.849865951742627
MASTER_LEFT_POS_Z,0.345429,0.394232,0.04880300000000004,0.2722244999999999,0.4674365000000001,39,1.0455764075067024
MASTER_LEFT_ROT_R11,-0.76942175,-0.48751625,0.28190550000000003,-1.19228,-0.06465799999999994,44,1.1796246648793565
MASTER_LEFT_ROT_R12,-0.27179325,0.2010715,0.47286474999999994,-0.981090375,0.9103686249999999,192,5.1474530831099194
MASTER_LEFT_ROT_R13,-0.719606,-0.53096825,0.18863774999999994,-1.002562625,-0.24801162500000012,472,12.654155495978554
MASTER_LEFT_ROT_R21,-0.5641685,-0.1833055,0.38086299999999995,-1.135463,0.3879889999999999,0,0.0
MASTER_LEFT_ROT_R22,-0.85245325,-0.6327225,0.21973075000000009,-1.182049375,-0.30312637499999984,302,8.096514745308312
MASTER_LEFT_ROT_R23,0.34009525,0.6276895,0.28759425,-0.091296125,1.059080875,0,0.0
MASTER_LEFT_ROT_R31,-0.691001,-0.42753075,0.26347024999999996,-1.086206375,-0.032325375000000045,458,12.27882037533512
MASTER_LEFT_ROT_R32,0.40822325,0.6322409999999999,0.22401774999999996,0.07219662500000007,0.9682676249999999,237,6.353887399463807
MASTER_LEFT_ROT_R33,0.43730674999999997,0.67262925,0.2353225,0.08432299999999998,1.0256129999999999,221,5.924932975871314
MASTER_LEFT_LIN_VEL_X,-0.00199825,0.004346,0.00634425,-0.011514625,0.013862375,1280,34.316353887399465
MASTER_LEFT_LIN_VEL_Y,-0.00469075,0.007873,0.012563749999999999,-0.023536375,0.026718624999999996,608,16.300268096514746
MASTER_LEFT_LIN_VEL_Z,-0.0070645,0.006121,0.0131855,-0.02684275,0.02589925,617,16.541554959785522
MASTER_LEFT_ROT_VEL_X,-0.03413775,0.03435825,0.068496,-0.13688175,0.13710225,958,25.683646112600538
MASTER_LEFT_ROT_VEL_Y,-0.04355875,0.03850375,0.08206250000000001,-0.1666525,0.1615975,1090,29.2225201072386
MASTER_LEFT_ROT_VEL_Z,-0.029553,0.07187825,0.10143125,-0.181699875,0.22402512500000002,847,22.707774798927613
MASTER_LEFT_GRIPPER_ANGLE,-1.9058575,-0.00242275,1.90343475,-4.761009625,2.852729375,0,0.0
MASTER_RIGHT_POS_X,-0.16190425,-0.15110525,0.010799000000000003,-0.17810275,-0.13490675,276,7.399463806970509
MASTER_RIGHT_POS_Y,0.01183825,0.04284175,0.031003499999999996,-0.034666999999999996,0.089347,0,0.0
MASTER_RIGHT_POS_Z,0.3216115,0.36041,0.038798500000000014,0.26341375,0.41860775000000006,45,1.2064343163538873
MASTER_RIGHT_ROT_R11,0.46987025000000004,0.772441,0.30257075,0.016014125000000046,1.226297125,294,7.882037533512063
MASTER_RIGHT_ROT_R12,-0.53418275,0.17811100000000002,0.7122937500000001,-1.602623375,1.246551625,0,0.0
MASTER_RIGHT_ROT_R13,0.25688475,0.6211225,0.36423775,-0.28947187500000005,1.167479125,0,0.0
MASTER_RIGHT_ROT_R21,-0.3271345,0.030808500000000003,0.357943,-0.864049,0.567723,10,0.2680965147453083
MASTER_RIGHT_ROT_R22,0.5805245,0.82366925,0.24314475000000002,0.21580737499999997,1.188386375,160,4.289544235924933
MASTER_RIGHT_ROT_R23,0.53430875,0.68453025,0.1502215,0.3089765,0.9098625,109,2.9222520107238603
MASTER_RIGHT_ROT_R31,-0.7956485,-0.07468875,0.72095975,-1.877088125,1.006750875,0,0.0
MASTER_RIGHT_ROT_R32,-0.50271725,-0.2531705,0.24954674999999998,-0.877037375,0.12114962499999998,302,8.096514745308312
MASTER_RIGHT_ROT_R33,0.36586975,0.7622345,0.39636475000000004,-0.22867737500000007,1.356781625,0,0.0
MASTER_RIGHT_LIN_VEL_X,-0.00086325,0.001069,0.00193225,-0.0037616249999999998,0.003967375,1472,39.46380697050939
MASTER_RIGHT_LIN_VEL_Y,-0.00515675,0.0036595,0.00881625,-0.018381124999999998,0.016883875,559,14.986595174262735
MASTER_RIGHT_LIN_VEL_Z,-0.0016507499999999999,0.00779075,0.0094415,-0.015813,0.021953,647,17.34584450402145
MASTER_RIGHT_ROT_VEL_X,-0.03451075,0.01038975,0.044900499999999996,-0.1018615,0.07774049999999999,1044,27.989276139410187
MASTER_RIGHT_ROT_VEL_Y,-0.01683675,0.032002,0.04883875,-0.090094875,0.10526012500000001,1209,32.41286863270778
MASTER_RIGHT_ROT_VEL_Z,-0.03596725,0.029245,0.06521225,-0.133785625,0.127063375,1059,28.391420911528147
MASTER_RIGHT_GRIPPER_ANGLE,-1.405904,0.535333,1.941237,-4.3177595,3.4471885,0,0.0
SLAVE_LEFT_POS_X,0.03872075,0.04411675,0.005396000000000005,0.03062674999999999,0.052210750000000014,277,7.42627345844504
SLAVE_LEFT_POS_Y,0.02698425,0.0424885,0.015504249999999997,0.0037278750000000055,0.065744875,0,0.0
SLAVE_LEFT_POS_Z,-0.015957,0.0034545,0.019411499999999998,-0.045074249999999996,0.03257175,45,1.2064343163538873
SLAVE_LEFT_ROT_R11,-0.7663755,-0.328104,0.4382715,-1.42378275,0.32930325,229,6.13941018766756
SLAVE_LEFT_ROT_R12,0.0222085,0.62640675,0.60419825,-0.8840888750000001,1.532704125,55,1.4745308310991956
SLAVE_LEFT_ROT_R13,0.26600075,0.6320095,0.36600875,-0.283012375,1.181022625,0,0.0
SLAVE_LEFT_ROT_R21,-0.16848025,0.1958925,0.36437275,-0.715039375,0.7424516250000001,43,1.1528150134048258
SLAVE_LEFT_ROT_R22,-0.8167925,-0.6183375,0.19845500000000005,-1.114475,-0.3206549999999999,234,6.273458445040214
SLAVE_LEFT_ROT_R23,0.5344897500000001,0.67603375,0.1415439999999999,0.32217375000000026,0.8883497499999998,170,4.557640750670242
SLAVE_LEFT_ROT_R31,0.23244575,0.85087925,0.6184335,-0.6952044999999999,1.7785294999999999,0,0.0
SLAVE_LEFT_ROT_R32,0.14883325,0.4443455,0.29551225000000003,-0.294435125,0.887613875,191,5.120643431635389
SLAVE_LEFT_ROT_R33,0.32061924999999997,0.758097,0.43747775000000005,-0.33559737500000014,1.4143136250000001,0,0.0
SLAVE_LEFT_LIN_VEL_X,-0.0003875,0.0005195,0.000907,-0.0017480000000000002,0.0018800000000000002,1428,38.284182305630026
SLAVE_LEFT_LIN_VEL_Y,-0.00275675,0.0018154999999999998,0.00457225,-0.009615125,0.008673875,542,14.53083109919571
SLAVE_LEFT_LIN_VEL_Z,-0.00087875,0.00389575,0.0047745,-0.008040499999999999,0.0110575,637,17.07774798927614
SLAVE_LEFT_ROT_VEL_X,-0.03551825,0.01170825,0.047226500000000005,-0.10635800000000001,0.08254800000000001,1014,27.184986595174266
SLAVE_LEFT_ROT_VEL_Y,-0.01560775,0.032694,0.048301750000000004,-0.08806037500000001,0.10514662500000001,1202,32.225201072386064
SLAVE_LEFT_ROT_VEL_Z,-0.03758975,0.029054,0.06664375,-0.137555375,0.129019625,1080,28.9544235924933
SLAVE_LEFT_GRIPPER_ANGLE,-0.862789,0.521426,1.384215,-2.9391115,2.5977485,0,0.0
SLAVE_RIGHT_POS_X,0.071717,0.08089375,0.009176749999999997,0.05795187500000001,0.094658875,582,15.603217158176944
SLAVE_RIGHT_POS_Y,0.024816,0.03778,0.012964,0.005370000000000003,0.057226,442,11.849865951742627
SLAVE_RIGHT_POS_Z,-0.0671025,-0.04269425,0.024408249999999992,-0.10371487499999998,-0.006081875000000014,39,1.0455764075067024
SLAVE_RIGHT_ROT_R11,-0.810135,-0.56464875,0.24548625000000002,-1.1783643750000001,-0.196419375,156,4.18230563002681
SLAVE_RIGHT_ROT_R12,-0.32755999999999996,0.14360050000000002,0.4711605,-1.0343007499999999,0.85034125,195,5.227882037533512
SLAVE_RIGHT_ROT_R13,-0.6849915,-0.482614,0.2023775,-0.98855775,-0.17904775,478,12.815013404825738
SLAVE_RIGHT_ROT_R21,-0.45109575,-0.043555250000000004,0.4075405,-1.0624065,0.5677555,0,0.0
SLAVE_RIGHT_ROT_R22,-0.89231075,-0.7034659999999999,0.18884475000000012,-1.175577875,-0.42019887499999975,303,8.123324396782843
SLAVE_RIGHT_ROT_R23,0.321519,0.6235955,0.30207649999999997,-0.13159574999999996,1.0767102499999999,0,0.0
SLAVE_RIGHT_ROT_R31,-0.70743975,-0.461297,0.24614275000000002,-1.076653875,-0.09208287499999995,517,13.860589812332439
SLAVE_RIGHT_ROT_R32,0.31948075,0.54087225,0.22139150000000007,-0.012606500000000131,0.8729595000000001,239,6.407506702412869
SLAVE_RIGHT_ROT_R33,0.520203,0.734649,0.21444600000000003,0.19853399999999993,1.056318,222,5.951742627345844
SLAVE_RIGHT_LIN_VEL_X,-0.0010217499999999999,0.0020197500000000003,0.0030415,-0.005584,0.006582000000000001,1354,36.30026809651474
SLAVE_RIGHT_LIN_VEL_Y,-0.00255175,0.004002749999999999,0.0065544999999999996,-0.0123835,0.0138345,595,15.951742627345844
SLAVE_RIGHT_LIN_VEL_Z,-0.00344,0.003286,0.006725999999999999,-0.013529,0.013374999999999998,586,15.710455764075068
SLAVE_RIGHT_ROT_VEL_X,-0.034711,0.036354,0.07106499999999999,-0.14130849999999998,0.14295149999999998,974,26.112600536193032
SLAVE_RIGHT_ROT_VEL_Y,-0.05109425,0.0333485,0.08444275000000001,-0.17775837500000002,0.16001262500000002,1051,28.176943699731904
SLAVE_RIGHT_ROT_VEL_Z,-0.03575575,0.07205725,0.107813,-0.19747525000000002,0.23377675000000003,851,22.815013404825738
