Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3445.0,0.07346443367198839,0.01873521698586853,0.039724,0.061672,0.073571,0.082557,0.13855
MASTER_LEFT_POS_Y,3445.0,0.02152538984034833,0.029723816145057116,-0.015874,0.000179,0.017931,0.032061,0.142286
MASTER_LEFT_POS_Z,3445.0,0.42311454223512335,0.03517633634248193,0.309999,0.404171,0.42001,0.445544,0.488923
MASTER_LEFT_ROT_R11,3445.0,-0.4464972403483309,0.2120656304854649,-0.83076,-0.617561,-0.466673,-0.293221,0.397969
MASTER_LEFT_ROT_R12,3445.0,0.36981146095791,0.42931079014861806,-0.530207,0.008242,0.424091,0.763244,0.999275
MASTER_LEFT_ROT_R13,3445.0,-0.6115758255442671,0.24638283921240045,-0.943503,-0.796788,-0.675336,-0.519307,0.122182
MASTER_LEFT_ROT_R21,3445.0,-0.6008672542815674,0.3341713504231724,-0.990789,-0.897987,-0.726776,-0.287276,0.43699
MASTER_LEFT_ROT_R22,3445.0,-0.5545545015965166,0.330556286565263,-0.994993,-0.872505,-0.564045,-0.223563,0.362742
MASTER_LEFT_ROT_R23,3445.0,0.2704238290275762,0.19341040044769733,-0.117125,0.15081,0.286274,0.39386,0.711368
MASTER_LEFT_ROT_R31,3445.0,-0.2911714386066763,0.444840928642302,-0.963212,-0.719872,-0.211241,-0.080239,0.647236
MASTER_LEFT_ROT_R32,3445.0,0.44757573091436864,0.24789552802603107,-0.303497,0.285137,0.470734,0.629141,0.8883
MASTER_LEFT_ROT_R33,3445.0,0.6446442702467344,0.20026798312319882,0.102967,0.537195,0.661873,0.804011,0.990781
MASTER_LEFT_LIN_VEL_X,3445.0,5.6882148040638574e-05,0.01687745222051923,-0.11881,-0.001411,0.0,0.003176,0.06067
MASTER_LEFT_LIN_VEL_Y,3445.0,0.00015160522496371554,0.019489857658364116,-0.11202,-0.00329,1e-06,0.006119,0.087454
MASTER_LEFT_LIN_VEL_Z,3445.0,0.0006209883889695208,0.02010053830971119,-0.075015,-0.008649,0.0,0.003095,0.097097
MASTER_LEFT_ROT_VEL_X,3445.0,-0.00461845979680697,0.7897920246459081,-5.416302,-0.034722,0.0,0.034557,5.118287
MASTER_LEFT_ROT_VEL_Y,3445.0,0.006674949201741656,0.5751405569014691,-4.809513,-0.047034,0.0,0.032296,4.198295
MASTER_LEFT_ROT_VEL_Z,3445.0,0.018045373584905666,0.8762286256770053,-5.346572,-0.042361,0.0,0.031329,5.4711
MASTER_LEFT_GRIPPER_ANGLE,3445.0,-0.695780669666183,0.966514865768377,-1.917623,-1.906153,-0.135971,0.125327,0.523004
MASTER_RIGHT_POS_X,3445.0,-0.08863136806966618,0.015428989905551185,-0.12066,-0.101566,-0.089318,-0.075821,-0.055213
MASTER_RIGHT_POS_Y,3445.0,-0.0034772679245283016,0.019005604163344444,-0.042202,-0.019053,-0.000684,0.013631,0.034837
MASTER_RIGHT_POS_Z,3445.0,0.40786729840348335,0.0260058892290434,0.346041,0.385673,0.407894,0.429615,0.454274
MASTER_RIGHT_ROT_R11,3445.0,0.12896493439767778,0.4115926212486707,-0.822387,-0.124622,0.130312,0.464336,0.940235
MASTER_RIGHT_ROT_R12,3445.0,0.44971248708272854,0.3711000868018107,-0.698687,0.22771,0.500858,0.675405,0.99989
MASTER_RIGHT_ROT_R13,3445.0,0.6006162104499274,0.33671445099347624,-0.36038,0.474354,0.680897,0.835862,0.999619
MASTER_RIGHT_ROT_R21,3445.0,-0.6282243918722786,0.3490716759399813,-0.99352,-0.851035,-0.669198,-0.562803,0.867383
MASTER_RIGHT_ROT_R22,3445.0,0.4370567599419449,0.4523599128133387,-0.78446,0.068507,0.640983,0.778534,0.999842
MASTER_RIGHT_ROT_R23,3445.0,-0.20109501828737303,0.21780289888123272,-0.753097,-0.313982,-0.18363,-0.038222,0.48774
MASTER_RIGHT_ROT_R31,3445.0,-0.4898619039187228,0.24034351128834522,-0.880202,-0.676541,-0.526061,-0.368265,0.254915
MASTER_RIGHT_ROT_R32,3445.0,-0.3774749712626996,0.3498909988669734,-0.971908,-0.661901,-0.351017,-0.249419,0.838084
MASTER_RIGHT_ROT_R33,3445.0,0.5813546838896951,0.3151670184211731,-0.268477,0.41247,0.685227,0.813616,0.995361
MASTER_RIGHT_LIN_VEL_X,3445.0,0.0001062301886792453,0.012973422644856866,-0.061038,-0.002609,0.0,0.003364,0.063193
MASTER_RIGHT_LIN_VEL_Y,3445.0,9.675732946298971e-05,0.011399875821235248,-0.064427,-0.004837,0.0,0.005673,0.056171
MASTER_RIGHT_LIN_VEL_Z,3445.0,0.00023714542815674893,0.015746744879396146,-0.09266,-0.004343,2e-06,0.007077,0.09693
MASTER_RIGHT_ROT_VEL_X,3445.0,-0.004373716110304793,0.7133407915431353,-5.578483,-0.04296,0.0,0.03258,5.396469
MASTER_RIGHT_ROT_VEL_Y,3445.0,-0.014680056894049345,0.5034084952029113,-3.636064,-0.063617,0.0,0.084261,3.037227
MASTER_RIGHT_ROT_VEL_Z,3445.0,-0.01263004208998549,0.7686589157690588,-5.848131,-0.049494,0.0,0.085369,5.863512
MASTER_RIGHT_GRIPPER_ANGLE,3445.0,-0.6810962386066763,0.7647495298587225,-1.410845,-1.406056,-1.402474,0.132378,0.533307
SLAVE_LEFT_POS_X,3445.0,0.034884979970972424,0.0077155379799756394,0.018866,0.028419,0.034542,0.041301,0.051597
SLAVE_LEFT_POS_Y,3445.0,0.042546453410740204,0.00950289308603331,0.023181,0.03476,0.043941,0.051101,0.061696
SLAVE_LEFT_POS_Z,3445.0,-0.005503846734397678,0.013000690609180859,-0.036428,-0.016597,-0.005486,0.005384,0.017704
SLAVE_LEFT_ROT_R11,3445.0,-0.1663225236574746,0.40972792661417023,-0.954098,-0.509734,-0.156736,0.075215,0.784453
