Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3180.0,0.15262969842767296,0.02299208455361817,0.112098,0.136383,0.15059650000000002,0.16202624999999998,0.248957
MASTER_LEFT_POS_Y,3180.0,-0.004492328301886792,0.05834275892464876,-0.054112,-0.03331825,-0.012906,0.00058725,0.281533
MASTER_LEFT_POS_Z,3180.0,0.33836892610062896,0.02533469206581596,0.250991,0.3242115,0.33901,0.35713575,0.389035
MASTER_LEFT_ROT_R11,3180.0,-0.6265370911949686,0.18233706105023667,-0.987731,-0.75480075,-0.6541735,-0.52806425,-0.066134
MASTER_LEFT_ROT_R12,3180.0,-0.03518214119496857,0.3836579770241922,-0.774206,-0.27950175,-0.022218500000000002,0.26139725,0.928814
MASTER_LEFT_ROT_R13,3180.0,-0.6313963657232704,0.1649923684464762,-0.966123,-0.7392839999999999,-0.6262245,-0.5555129999999999,0.23977
MASTER_LEFT_ROT_R21,3180.0,-0.2527052,0.3911241492772731,-0.976101,-0.54526775,-0.34076,-0.0788785,0.849177
MASTER_LEFT_ROT_R22,3180.0,-0.7875615301886791,0.13399449048051132,-0.971845,-0.9099900000000001,-0.7964575,-0.703005,-0.167276
MASTER_LEFT_ROT_R23,3180.0,0.3300848971698113,0.18982932173365002,-0.234351,0.24216225,0.3123675,0.45146625,0.76879
MASTER_LEFT_ROT_R31,3180.0,-0.5624262440251573,0.20080547235611043,-0.946345,-0.725792,-0.5611820000000001,-0.42329375,0.445349
MASTER_LEFT_ROT_R32,3180.0,0.38322410660377354,0.2578287799595053,-0.650635,0.26579875000000003,0.382364,0.5727085000000001,0.847792
MASTER_LEFT_ROT_R33,3180.0,0.6256539977987422,0.1965893182539792,-0.072616,0.54298025,0.6582635,0.76291325,0.958368
MASTER_LEFT_LIN_VEL_X,3180.0,-9.112735849056588e-05,0.024717503343135307,-0.197964,-0.000934,-0.0,0.0010085,0.1278
MASTER_LEFT_LIN_VEL_Y,3180.0,2.7200314465409798e-05,0.058511810764814626,-0.463333,-0.0034075,-0.0,0.0059099999999999995,0.276093
MASTER_LEFT_LIN_VEL_Z,3180.0,-6.77069182389936e-05,0.02601812985609886,-0.119635,-0.004227,-4.5e-06,0.00507825,0.159554
MASTER_LEFT_ROT_VEL_X,3180.0,-0.023160370440251564,0.6183992519652672,-5.225809,-0.03118025,0.0,0.01249925,5.098436
MASTER_LEFT_ROT_VEL_Y,3180.0,0.007553528930817609,0.6705586884773093,-5.781569,-0.0522,0.0,0.02145175,5.217836
MASTER_LEFT_ROT_VEL_Z,3180.0,0.006404125786163522,0.7524229389084368,-6.85394,-0.030373749999999998,0.0,0.047455,5.814753
MASTER_LEFT_GRIPPER_ANGLE,3180.0,-0.6210343503144653,0.9268367024845187,-1.919883,-1.9085065,-0.1669185,0.14216299999999998,0.523423
MASTER_RIGHT_POS_X,3180.0,-0.18192288867924528,0.018104260662978332,-0.227975,-0.1950065,-0.17861349999999998,-0.1724945,-0.115496
MASTER_RIGHT_POS_Y,3180.0,-0.004387844339622641,0.016545936787676963,-0.046254,-0.014982,-0.005435,0.006311499999999999,0.04108
MASTER_RIGHT_POS_Z,3180.0,0.32652368836477985,0.023152031985731056,0.261889,0.308714,0.3281955,0.34414525,0.37789
