Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,2214.0,0.1611707145438121,0.017771652338850093,0.1263,0.15248625000000002,0.158857,0.1747735,0.214231
MASTER_LEFT_POS_Y,2214.0,-0.024611105691056914,0.01492497660023353,-0.055763,-0.03291975,-0.023746,-0.014827,0.010771
MASTER_LEFT_POS_Z,2214.0,0.3215761991869919,0.03390318649505342,0.241816,0.29818675,0.323689,0.337639,0.383578
MASTER_LEFT_ROT_R11,2214.0,-0.7437628396567298,0.16915767308887122,-0.980834,-0.8583609999999999,-0.7972319999999999,-0.61854175,-0.282076
MASTER_LEFT_ROT_R12,2214.0,0.4485162429990967,0.22732443643117758,-0.337478,0.31147749999999996,0.505923,0.5995882499999999,0.843593
MASTER_LEFT_ROT_R13,2214.0,-0.27044570822041547,0.30387769583121726,-0.945674,-0.40202125,-0.2244945,-0.08120025,0.315403
MASTER_LEFT_ROT_R21,2214.0,-0.4849452041553749,0.2145605300037733,-0.852396,-0.61934925,-0.5164040000000001,-0.344724,0.256432
MASTER_LEFT_ROT_R22,2214.0,-0.7894164986449864,0.12009157568735083,-0.999552,-0.9133495,-0.766189,-0.7155279999999999,-0.521954
MASTER_LEFT_ROT_R23,2214.0,0.223783467931346,0.17642467669076034,-0.062711,0.08545749999999999,0.224929,0.3400665,0.578115
MASTER_LEFT_ROT_R31,2214.0,-0.11636119467028004,0.3513894613292382,-0.947277,-0.26655925,-0.10153000000000001,0.16021575,0.492819
MASTER_LEFT_ROT_R32,2214.0,0.3002624155374887,0.13797051067582225,-0.171605,0.2238455,0.278185,0.40163000000000004,0.616957
MASTER_LEFT_ROT_R33,2214.0,0.8553772186088529,0.14907508597627353,0.306448,0.8542569999999999,0.9155169999999999,0.950744,0.983955
MASTER_LEFT_LIN_VEL_X,2214.0,0.00014149232158988247,0.01895470236118629,-0.07591,-0.0003795,0.0,0.000637,0.094133
