Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,2948.0,0.15659977917232024,0.014959232028800704,0.127582,0.14327675,0.156391,0.168959,0.200175
MASTER_LEFT_POS_Y,2948.0,-0.028807559362279512,0.02256389481643051,-0.065466,-0.04734125,-0.0287505,-0.01845275,0.06977
MASTER_LEFT_POS_Z,2948.0,0.30935442062415197,0.03329561583705768,0.173102,0.3011915,0.311574,0.3249055,0.372129
MASTER_LEFT_ROT_R11,2948.0,-0.6363468253052917,0.45140063520936935,-0.996661,-0.88328975,-0.8058365000000001,-0.70211525,0.773881
MASTER_LEFT_ROT_R12,2948.0,-0.12762686431478967,0.3087826731156567,-0.776763,-0.35046225,-0.16057149999999998,0.08280475,0.906451
MASTER_LEFT_ROT_R13,2948.0,-0.48887547218453187,0.2020550953833169,-0.899003,-0.63455625,-0.4654915,-0.41333549999999997,0.348226
MASTER_LEFT_ROT_R21,2948.0,-0.03202582700135685,0.29101736566915587,-0.938264,-0.23348025,-0.054183499999999996,0.19768225,0.601728
MASTER_LEFT_ROT_R22,2948.0,-0.8349302835820895,0.15351521480528316,-0.999732,-0.93332525,-0.8770825,-0.81806875,-0.223717
MASTER_LEFT_ROT_R23,2948.0,0.39220731105834467,0.19950768579712438,-0.096549,0.1918665,0.416047,0.5112105,0.810149
MASTER_LEFT_ROT_R31,2948.0,-0.4897895047489823,0.255294443830152,-0.980089,-0.6699710000000001,-0.5170825,-0.40265799999999996,0.317863
MASTER_LEFT_ROT_R32,2948.0,0.19863993317503395,0.3581482219725482,-0.957055,0.09292,0.2790355,0.45528175,0.796732
MASTER_LEFT_ROT_R33,2948.0,0.657886803595658,0.3074292526652972,-0.385204,0.6786125000000001,0.7617645,0.82819575,0.987275
MASTER_LEFT_LIN_VEL_X,2948.0,9.628833107191322e-05,0.01791828178781832,-0.128916,-0.0005074999999999999,0.0,0.0004535,0.096037
MASTER_LEFT_LIN_VEL_Y,2948.0,-2.488263229307999e-05,0.017133389455661098,-0.110629,-0.00234,0.0,0.00339575,0.08312
MASTER_LEFT_LIN_VEL_Z,2948.0,0.00012351933514246973,0.02588920536660766,-0.1034,-0.00417375,0.0,0.00389725,0.15607
MASTER_LEFT_ROT_VEL_X,2948.0,-0.0014857157394843972,0.4965038056680216,-4.482595,-0.010531750000000001,0.0,0.0288435,4.462668
MASTER_LEFT_ROT_VEL_Y,2948.0,-0.0030506584124830277,0.7749792995567396,-5.992302,-0.014715,0.0,0.0282025,6.506535
MASTER_LEFT_ROT_VEL_Z,2948.0,-0.001766812075983718,0.7598967578224931,-6.459879,-0.017861000000000002,-0.0,0.0441425,5.476295
MASTER_LEFT_GRIPPER_ANGLE,2948.0,-0.5864611431478969,1.098484186720245,-1.922457,-1.91332075,0.197721,0.45658849999999995,0.522322
MASTER_RIGHT_POS_X,2948.0,-0.17101941451831748,0.015459088362474623,-0.21074,-0.17946625,-0.170227,-0.16251425,-0.133338
MASTER_RIGHT_POS_Y,2948.0,-0.028592225915875166,0.022064311225197936,-0.069788,-0.04974925,-0.032179,-0.00945525,0.012801
MASTER_RIGHT_POS_Z,2948.0,0.3026958307327001,0.019160235579767468,0.236786,0.291327,0.303969,0.3157875,0.334677
MASTER_RIGHT_ROT_R11,2948.0,-0.5363858188602443,0.3157211328608873,-0.998632,-0.792276,-0.574599,-0.36575175000000004,0.622336
MASTER_RIGHT_ROT_R12,2948.0,0.21113866010854818,0.5443190662174209,-0.887869,-0.29683775,0.3969045,0.61074025,0.928287
MASTER_RIGHT_ROT_R13,2948.0,0.47247223439620084,0.22058958111149085,-0.067309,0.329807,0.44995450000000003,0.65833075,0.955866
MASTER_RIGHT_ROT_R21,2948.0,-0.0055357710312075896,0.38655875189598,-0.600462,-0.327299,-0.159521,0.39601675000000003,0.942247
MASTER_RIGHT_ROT_R22,2948.0,-0.5882679216417911,0.3410394020540054,-0.95376,-0.786762,-0.7239880000000001,-0.44621875,0.806927
MASTER_RIGHT_ROT_R23,2948.0,0.5986372805291723,0.17274894187067075,0.126007,0.49464675,0.6101855,0.746988,0.958689
MASTER_RIGHT_ROT_R31,2948.0,0.4207839820217097,0.5354410964686829,-0.678568,0.020191499999999998,0.6638634999999999,0.853658,0.980167
MASTER_RIGHT_ROT_R32,2948.0,0.3112018595658073,0.31642242312587293,-0.644522,0.0724715,0.253937,0.614936,0.974443
MASTER_RIGHT_ROT_R33,2948.0,0.5625857995251018,0.15090783728300586,-0.04863,0.477452,0.5392224999999999,0.6768065000000001,0.904787
MASTER_RIGHT_LIN_VEL_X,2948.0,-5.558649932157393e-05,0.015422322300278768,-0.085257,-8.7e-05,2e-06,0.00089725,0.085148
MASTER_RIGHT_LIN_VEL_Y,2948.0,1.6166892808683714e-05,0.01220169513892561,-0.114474,-0.0021715000000000003,-0.0,0.0023625,0.087159
MASTER_RIGHT_LIN_VEL_Z,2948.0,0.00010223609226594302,0.015542103294961246,-0.094126,-0.0017465,3e-06,0.0040922499999999995,0.082704
MASTER_RIGHT_ROT_VEL_X,2948.0,-0.007852545793758483,0.4680760544236618,-5.221841,-0.00908425,0.0,0.0213335,4.959818
MASTER_RIGHT_ROT_VEL_Y,2948.0,-0.008517428426051563,0.7650933803035617,-6.070804,-0.02513675,-0.0,0.015206,5.594523
MASTER_RIGHT_ROT_VEL_Z,2948.0,-0.0070921434871099,0.6992317544285896,-5.836895,-0.03132225,0.0,0.02531425,5.489534
MASTER_RIGHT_GRIPPER_ANGLE,2948.0,-0.6399631004070556,0.7540341331893814,-1.404465,-1.40225375,-1.0018635,0.1520625,0.464382
SLAVE_LEFT_POS_X,2948.0,0.04116512822252374,0.007729662064716936,0.021303,0.03694175,0.041564500000000004,0.04541775,0.060006
SLAVE_LEFT_POS_Y,2948.0,0.03982961567164179,0.011032163860551829,0.01923,0.029246,0.0380385,0.049397250000000004,0.060534
SLAVE_LEFT_POS_Z,2948.0,-0.0058822438941655356,0.009580486585344085,-0.038842,-0.011572250000000001,-0.0052455,0.000665,0.010111
SLAVE_LEFT_ROT_R11,2948.0,0.5399726906377205,0.3157985396361973,-0.587258,0.370748,0.590131,0.7979075,0.999877
SLAVE_LEFT_ROT_R12,2948.0,-0.22619254172320216,0.541279357303163,-0.932788,-0.62991375,-0.4022845,0.26712125,0.880685
SLAVE_LEFT_ROT_R13,2948.0,0.4614225508819538,0.22758070565121338,-0.091972,0.312791,0.439851,0.65717525,0.961892
SLAVE_LEFT_ROT_R21,2948.0,0.04219743249660785,0.393629939387537,-0.934461,-0.363042,0.20306049999999998,0.36897825,0.634001
SLAVE_LEFT_ROT_R22,2948.0,0.593595776458616,0.3320555778729714,-0.784077,0.44192925000000005,0.7145105,0.79268,0.95036
SLAVE_LEFT_ROT_R23,2948.0,0.5919031295793759,0.17437715093415954,0.149207,0.47912,0.5936385,0.7394385,0.961807
SLAVE_LEFT_ROT_R31,2948.0,-0.4170178707598372,0.5274950755322939,-0.970772,-0.84288875,-0.654152,-0.030902,0.690261
SLAVE_LEFT_ROT_R32,2948.0,-0.29014303697421984,0.33049400059998973,-0.975044,-0.6038465,-0.2412545,-0.036958500000000005,0.671528
SLAVE_LEFT_ROT_R33,2948.0,0.5766580139077341,0.14845413019821144,-0.03677,0.48786549999999995,0.55148,0.690917,0.912333
SLAVE_LEFT_LIN_VEL_X,2948.0,-4.558107191316149e-05,0.007724620588199362,-0.037811,-6.025e-05,1e-06,0.000424,0.03522
SLAVE_LEFT_LIN_VEL_Y,2948.0,-1.972421981004069e-05,0.006094707856970868,-0.056571,-0.00107125,-0.0,0.00113975,0.043713
SLAVE_LEFT_LIN_VEL_Z,2948.0,6.706241519674357e-05,0.007765220463349599,-0.047485,-0.00084625,8e-06,0.0020342499999999996,0.040174
SLAVE_LEFT_ROT_VEL_X,2948.0,-0.0020197021709633662,0.479562435981404,-5.250993,-0.0135415,-7.499999999999999e-06,0.013417,3.681601
SLAVE_LEFT_ROT_VEL_Y,2948.0,-0.004004085142469461,0.8188751766903801,-6.255975,-0.01800225,-2e-06,0.0157925,5.296278
SLAVE_LEFT_ROT_VEL_Z,2948.0,-0.0020513958616010797,0.7526329351841256,-5.962895,-0.032924,-1e-05,0.02480975,6.442731
SLAVE_LEFT_GRIPPER_ANGLE,2948.0,-0.4944203117367707,0.5071892350530341,-1.022487,-0.94476,-0.899692,0.019307,0.437331
