Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,2838.0,0.08176133227625089,0.0182013035273784,0.048892,0.0697975,0.080053,0.0927735,0.164969
MASTER_LEFT_POS_Y,2838.0,0.038466867159971815,0.036887759535618354,-0.01489,0.0154955,0.0305425,0.05287775,0.191774
MASTER_LEFT_POS_Z,2838.0,0.3752325239605356,0.034090622403079585,0.246189,0.35724625,0.38320350000000003,0.3977395,0.436266
MASTER_LEFT_ROT_R11,2838.0,-0.6505494587737843,0.21229187914545328,-0.980094,-0.7961475,-0.6464305,-0.5086867500000001,0.473725
MASTER_LEFT_ROT_R12,2838.0,0.34757438759689924,0.36705820398149835,-0.508947,0.033114250000000005,0.4788075,0.638956,0.951319
MASTER_LEFT_ROT_R13,2838.0,-0.4936866997885835,0.1804755331005571,-0.892227,-0.607034,-0.5143935,-0.37691925,-0.063181
MASTER_LEFT_ROT_R21,2838.0,-0.46854468604651167,0.3445982453712247,-0.989021,-0.7677197499999999,-0.6136539999999999,-0.15460125,0.215357
MASTER_LEFT_ROT_R22,2838.0,-0.7540686560958422,0.21646075882115565,-0.999896,-0.93475775,-0.7752015,-0.618826,0.520987
MASTER_LEFT_ROT_R23,2838.0,0.11335654721634954,0.1828534907384013,-0.237333,-0.02292575,0.0854615,0.24653525,0.572422
MASTER_LEFT_ROT_R31,2838.0,-0.3710036212121212,0.23515377354820793,-0.929525,-0.547332,-0.3349,-0.24664175,0.433435
MASTER_LEFT_ROT_R32,2838.0,0.31621462614517265,0.16944149095206681,-0.09612,0.19932,0.31812850000000004,0.41943474999999997,0.853451
MASTER_LEFT_ROT_R33,2838.0,0.8138473597603947,0.12677418587426095,0.354419,0.7492070000000001,0.853378,0.91117875,0.990825
MASTER_LEFT_LIN_VEL_X,2838.0,0.00014518217054263575,0.02564603509024601,-0.159355,-0.0077535,-1.2499999999999999e-05,0.00330225,0.13955
MASTER_LEFT_LIN_VEL_Y,2838.0,-4.4296687808315515e-05,0.03939422406280923,-0.264824,-0.00621025,0.0,0.007459,0.149868
MASTER_LEFT_LIN_VEL_Z,2838.0,-8.241437632135274e-05,0.035693441030948285,-0.281116,-0.0072724999999999995,0.0,0.00900225,0.218895
MASTER_LEFT_ROT_VEL_X,2838.0,-0.005911776603241723,0.6376896292579725,-4.752139,-0.03477875,0.0,0.03361675,6.318709
MASTER_LEFT_ROT_VEL_Y,2838.0,-0.007777621916842847,0.5925360116898415,-5.146899,-0.04072125,0.0,0.05349225,3.316952
MASTER_LEFT_ROT_VEL_Z,2838.0,0.009903014799154328,0.974751606976919,-7.105217,-0.029553,0.0,0.09086274999999999,6.045694
MASTER_LEFT_GRIPPER_ANGLE,2838.0,-0.7285939848484849,0.8524321941307236,-1.917619,-1.9033845,-0.38392400000000004,-0.08785175,0.522831
MASTER_RIGHT_POS_X,2838.0,-0.10338447639182523,0.016468434587360345,-0.148796,-0.10992925,-0.101739,-0.09578300000000001,-0.043806
MASTER_RIGHT_POS_Y,2838.0,0.04282346264975334,0.022071328284024926,0.00102,0.024504,0.043470499999999995,0.06170575,0.08955
MASTER_RIGHT_POS_Z,2838.0,0.34726364763918255,0.02394035833335071,0.2951,0.32577124999999996,0.35042249999999997,0.36602225,0.394244
MASTER_RIGHT_ROT_R11,2838.0,0.5660145158562369,0.3465057204698719,-0.479128,0.37131175000000005,0.6400319999999999,0.82273,0.999942
MASTER_RIGHT_ROT_R12,2838.0,0.04843923537702609,0.5850976877599703,-0.917368,-0.49477375,0.023892999999999998,0.6937217499999999,0.943381
MASTER_RIGHT_ROT_R13,2838.0,0.32590602536997887,0.3299296240200657,-0.245989,0.00834675,0.382191,0.59949125,0.904499
