Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,5211.0,0.08490561734791786,0.026426387348662206,0.023587,0.0707965,0.084297,0.095901,0.222493
MASTER_LEFT_POS_Y,5211.0,0.03795540568029169,0.020766585380775592,0.002934,0.022733999999999997,0.037466,0.0487655,0.117522
MASTER_LEFT_POS_Z,5211.0,0.3945812874688159,0.024097900729100688,0.301482,0.379283,0.393188,0.4125485,0.448973
MASTER_LEFT_ROT_R11,5211.0,-0.2023351811552485,0.24816240066487533,-0.678493,-0.4224465,-0.225473,-0.012355999999999999,0.382503
MASTER_LEFT_ROT_R12,5211.0,0.16948510113222032,0.42983718521865405,-0.723245,-0.0762245,0.066984,0.534394,0.999117
MASTER_LEFT_ROT_R13,5211.0,-0.7898901865284974,0.24529218990159526,-0.998844,-0.9253305000000001,-0.855302,-0.7522485000000001,0.325477
MASTER_LEFT_ROT_R21,5211.0,-0.39998004471310694,0.37257589708312083,-0.999752,-0.6401285,-0.371192,-0.24402000000000001,0.996379
MASTER_LEFT_ROT_R22,5211.0,-0.7155638982920746,0.31250718094216706,-0.999761,-0.9278275,-0.83804,-0.6604865,0.367046
MASTER_LEFT_ROT_R23,5211.0,0.08862175647668394,0.2892925604401689,-0.571188,-0.0932075,0.149929,0.29703749999999995,0.682223
MASTER_LEFT_ROT_R31,5211.0,-0.6953693809249664,0.33886089757927296,-0.999063,-0.9344265,-0.810113,-0.6183575,0.456337
MASTER_LEFT_ROT_R32,5211.0,0.29838640356937246,0.2961881850888974,-0.991347,0.1796605,0.318148,0.5256755,0.787447
MASTER_LEFT_ROT_R33,5211.0,0.3263409282287469,0.3441846768528969,-0.733128,0.16032249999999998,0.369581,0.513932,0.99966
MASTER_LEFT_LIN_VEL_X,5211.0,0.0003857459220878912,0.02459283456604036,-0.190843,-0.0009484999999999999,0.0,0.001143,0.151343
MASTER_LEFT_LIN_VEL_Y,5211.0,0.000264916522740357,0.016768229622677128,-0.122253,-0.0022224999999999996,0.0,0.0027255,0.111056
MASTER_LEFT_LIN_VEL_Z,5211.0,0.00038179466513145276,0.018459504310467164,-0.12122,-0.001392,0.0,0.0018774999999999998,0.107766
MASTER_LEFT_ROT_VEL_X,5211.0,0.01339000556515064,0.7971035023851112,-7.699332,-0.00397,0.0,0.0068915,6.705939
MASTER_LEFT_ROT_VEL_Y,5211.0,0.008445944540395317,0.5025603145957941,-4.420741,-0.0060695,0.0,0.034601999999999994,3.528101
MASTER_LEFT_ROT_VEL_Z,5211.0,0.011145082709652658,0.6164312699949238,-5.810178,-0.025876,0.0,0.02951,5.666924
MASTER_LEFT_GRIPPER_ANGLE,5211.0,0.013520670696603341,0.5219171681533998,-1.913139,-0.31875549999999997,-0.036878,0.502299,0.523892
