Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1493.0,0.13749898526456797,0.03262617506502681,0.077184,0.114403,0.132281,0.163675,0.205008
MASTER_LEFT_POS_Y,1493.0,0.02658805894172806,0.02317066094097369,-0.012181,0.003404,0.028043,0.04717,0.072065
MASTER_LEFT_POS_Z,1493.0,0.3690322860013396,0.028028646791698284,0.319495,0.344233,0.372072,0.396804,0.433036
MASTER_LEFT_ROT_R11,1493.0,-0.5364790549229739,0.3447249091208744,-0.955642,-0.745761,-0.697652,-0.3149,0.292889
MASTER_LEFT_ROT_R12,1493.0,0.14280759008707303,0.2656839762341617,-0.260007,-0.090544,0.112837,0.428487,0.647054
MASTER_LEFT_ROT_R13,1493.0,-0.6902222357669122,0.16172804605402785,-0.994418,-0.806435,-0.69844,-0.633658,-0.206699
MASTER_LEFT_ROT_R21,1493.0,-0.4457251466845278,0.339200873511395,-0.999883,-0.729481,-0.532779,-0.176037,0.144516
MASTER_LEFT_ROT_R22,1493.0,-0.6450651198928332,0.4329621663565342,-0.995437,-0.93442,-0.808169,-0.588377,0.61637
MASTER_LEFT_ROT_R23,1493.0,0.20548335097119894,0.20170505564621832,-0.172937,0.063322,0.196856,0.322401,0.618816
MASTER_LEFT_ROT_R31,1493.0,-0.40983964902880105,0.3334501338005338,-0.806902,-0.643462,-0.502524,-0.306968,0.587849
MASTER_LEFT_ROT_R32,1493.0,0.4779483121232418,0.27744608856408437,-0.038216,0.3289,0.522171,0.73767,0.917658
MASTER_LEFT_ROT_R33,1493.0,0.6160459517749498,0.18999003527102293,0.093663,0.527697,0.61205,0.746654,0.978452
MASTER_LEFT_LIN_VEL_X,1493.0,-0.00013174748827863382,0.023754995512780052,-0.183185,-0.001229,1.4e-05,0.011602,0.069762
MASTER_LEFT_LIN_VEL_Y,1493.0,0.0016017173476222373,0.013264518861729996,-0.060986,-0.00354,0.0,0.006064,0.065676
MASTER_LEFT_LIN_VEL_Z,1493.0,0.001371415271265907,0.013367700322690006,-0.074717,-0.00215,0.0,0.006954,0.055692
MASTER_LEFT_ROT_VEL_X,1493.0,-0.059602227729403885,0.7811133609397145,-5.896921,-0.031123,0.0,0.021859,5.341095
MASTER_LEFT_ROT_VEL_Y,1493.0,0.0365785807099799,0.4717708154506318,-3.543852,-0.030623,0.0,0.052253,3.27228
MASTER_LEFT_ROT_VEL_Z,1493.0,0.019507610180843935,0.6146280354430735,-3.902435,-0.036191,0.0,0.055433,5.052431
MASTER_LEFT_GRIPPER_ANGLE,1493.0,-0.7493000535833891,0.7545595058224375,-1.921898,-1.191329,-1.012274,0.149265,0.493733
MASTER_RIGHT_POS_X,1493.0,-0.15962712391158743,0.03540685577075571,-0.243823,-0.184086,-0.157386,-0.129907,-0.104742
MASTER_RIGHT_POS_Y,1493.0,0.0493719718687207,0.027009134823315496,-0.006452,0.027074,0.041953,0.075395,0.097047
MASTER_RIGHT_POS_Z,1493.0,0.34745576691225716,0.027063743936513722,0.294829,0.322631,0.345442,0.37377,0.397054
MASTER_RIGHT_ROT_R11,1493.0,0.19709933623576692,0.2855601335058476,-0.284527,-0.051907,0.178841,0.407507,0.804763
MASTER_RIGHT_ROT_R12,1493.0,0.41722551038178163,0.3167323184740692,-0.301534,0.175561,0.430048,0.679623,0.913821
MASTER_RIGHT_ROT_R13,1493.0,0.751984058941728,0.19967632462136514,0.339943,0.541889,0.792756,0.932135,0.999088
MASTER_RIGHT_ROT_R21,1493.0,-0.7395975894172806,0.2594812571602336,-0.998959,-0.934271,-0.840518,-0.645589,-0.078249
MASTER_RIGHT_ROT_R22,1493.0,0.4814648673811118,0.3765248660440313,-0.348426,0.30807,0.538539,0.747451,0.996094
MASTER_RIGHT_ROT_R23,1493.0,0.01154129002009377,0.10970053024222146,-0.260485,-0.037422,0.034209,0.07959,0.351698
MASTER_RIGHT_ROT_R31,1493.0,-0.3999685090421969,0.3250002161963141,-0.966775,-0.644494,-0.437733,-0.2267,0.268701
MASTER_RIGHT_ROT_R32,1493.0,-0.5499799082384461,0.22420881615785418,-0.948618,-0.712598,-0.554788,-0.386077,-0.087214
MASTER_RIGHT_ROT_R33,1493.0,0.5195262726054923,0.3343461379055674,-0.24442,0.309289,0.595883,0.835014,0.93813
MASTER_RIGHT_LIN_VEL_X,1493.0,0.0013343114534494307,0.02062236713080884,-0.108378,-0.009488,2e-06,0.010848,0.117559
MASTER_RIGHT_LIN_VEL_Y,1493.0,0.0016980006697923642,0.01384005929934973,-0.058392,-0.005003,0.000425,0.006137,0.072459
MASTER_RIGHT_LIN_VEL_Z,1493.0,0.0018947039517749498,0.016964084691577692,-0.078276,-0.00282,0.001423,0.010573,0.063255
MASTER_RIGHT_ROT_VEL_X,1493.0,0.016386027461486936,0.824947029879238,-5.543839,-0.034011,0.0,0.029865,5.489637
MASTER_RIGHT_ROT_VEL_Y,1493.0,-0.0032682913596785,0.47714101520479213,-2.351396,-0.135542,-0.004891,0.059591,2.770226
