Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3730.0,0.12151702600536193,0.027102285440904567,0.040912,0.11244275000000001,0.12164900000000001,0.130801,0.217854
MASTER_LEFT_POS_Y,3730.0,0.015516105093833783,0.03191935691241308,-0.056247,0.000143,0.009697,0.02607925,0.154333
MASTER_LEFT_POS_Z,3730.0,0.37000355495978554,0.03538829251240793,0.200172,0.345429,0.37036749999999996,0.394232,0.44303
MASTER_LEFT_ROT_R11,3730.0,-0.6217154423592492,0.2041229563806608,-0.983151,-0.76942175,-0.6968905000000001,-0.48751625,0.132332
MASTER_LEFT_ROT_R12,3730.0,-0.00398587908847186,0.4235565056561735,-0.776904,-0.27179325,-0.0585235,0.2010715,0.99495
MASTER_LEFT_ROT_R13,3730.0,-0.5669777179624665,0.26654754503863304,-0.952928,-0.719606,-0.6180734999999999,-0.53096825,0.304273
MASTER_LEFT_ROT_R21,3730.0,-0.3857894949061662,0.25342074585116103,-0.990692,-0.5641685,-0.36949600000000005,-0.1833055,0.112099
MASTER_LEFT_ROT_R22,3730.0,-0.6975418075067025,0.21256589066006745,-0.949724,-0.85245325,-0.7548835,-0.6327225,-0.065778
MASTER_LEFT_ROT_R23,3730.0,0.46855444155495973,0.18884654068857967,-0.082724,0.34009525,0.47143349999999995,0.6276895,0.868493
MASTER_LEFT_ROT_R31,3730.0,-0.45764485764075064,0.3856305581855156,-0.986427,-0.691001,-0.5592619999999999,-0.42753075,0.694142
MASTER_LEFT_ROT_R32,3730.0,0.4954366731903485,0.20862898946032377,-0.297617,0.40822325,0.54054,0.6322409999999999,0.878791
MASTER_LEFT_ROT_R33,3730.0,0.516805719839142,0.2930532090020105,-0.628712,0.43730674999999997,0.558595,0.67262925,0.997387
MASTER_LEFT_LIN_VEL_X,3730.0,9.76919571045575e-05,0.025872603523613938,-0.153027,-0.00199825,0.0,0.004346,0.167444
MASTER_LEFT_LIN_VEL_Y,3730.0,0.00031032117962466487,0.0290253334561946,-0.19215,-0.00469075,9.3e-05,0.007873,0.159638
MASTER_LEFT_LIN_VEL_Z,3730.0,-0.00021462493297587118,0.02770636235273781,-0.1851,-0.0070645,0.0,0.006121,0.174995
MASTER_LEFT_ROT_VEL_X,3730.0,-0.012106627345844504,0.5269168495676848,-5.13995,-0.03413775,0.0,0.03435825,5.191536
MASTER_LEFT_ROT_VEL_Y,3730.0,-0.011899769436997323,0.6090533401028488,-7.47253,-0.04355875,0.0,0.03850375,4.389547
MASTER_LEFT_ROT_VEL_Z,3730.0,0.03230492895442359,0.6793375850248135,-5.658424,-0.029553,0.0,0.07187825,5.635644
MASTER_LEFT_GRIPPER_ANGLE,3730.0,-0.9057367605898123,0.9441116434805223,-1.919542,-1.9058575,-1.0149675,-0.00242275,0.525434
MASTER_RIGHT_POS_X,3730.0,-0.15819501715817694,0.010643287905367959,-0.20142,-0.16190425,-0.15644550000000002,-0.15110525,-0.131504
MASTER_RIGHT_POS_Y,3730.0,0.027149127882037532,0.020303299406712338,-0.027371,0.01183825,0.027467,0.04284175,0.074082
MASTER_RIGHT_POS_Z,3730.0,0.34018452064343163,0.02810910247397523,0.228265,0.3216115,0.340649,0.36041,0.39329
MASTER_RIGHT_ROT_R11,3730.0,0.5718888871313672,0.34069309239310047,-0.672753,0.46987025000000004,0.66763,0.772441,0.99971
MASTER_RIGHT_ROT_R12,3730.0,-0.1493234745308311,0.5363508824002506,-0.98452,-0.53418275,-0.34353350000000005,0.17811100000000002,0.970146
MASTER_RIGHT_ROT_R13,3730.0,0.4100127844504022,0.2809125322211451,-0.24402,0.25688475,0.5330385,0.6211225,0.812275
MASTER_RIGHT_ROT_R21,3730.0,-0.1553319163538874,0.2740807972822429,-0.945129,-0.3271345,-0.0854325,0.030808500000000003,0.503202
MASTER_RIGHT_ROT_R22,3730.0,0.6557458171581769,0.2781820007136061,-0.708786,0.5805245,0.7183185,0.82366925,0.997565
MASTER_RIGHT_ROT_R23,3730.0,0.6089919120643431,0.14991193772416805,-0.146564,0.53430875,0.593629,0.68453025,0.941773
MASTER_RIGHT_ROT_R31,3730.0,-0.4094259975871314,0.5390596906380993,-0.990919,-0.7956485,-0.6524775,-0.07468875,0.672325
MASTER_RIGHT_ROT_R32,3730.0,-0.34379746997319033,0.2537549409896718,-0.836015,-0.50271725,-0.389362,-0.2531705,0.491052
MASTER_RIGHT_ROT_R33,3730.0,0.5546299705093835,0.2270560826099292,0.071006,0.36586975,0.592312,0.7622345,0.973538
MASTER_RIGHT_LIN_VEL_X,3730.0,1.9928954423592503e-05,0.013989245239588045,-0.078051,-0.00086325,0.0,0.001069,0.083031
MASTER_RIGHT_LIN_VEL_Y,3730.0,0.00010176327077747987,0.016269506653266184,-0.090288,-0.00515675,-5.9e-05,0.0036595,0.124686
MASTER_RIGHT_LIN_VEL_Z,3730.0,0.0006022630026809653,0.021768217517636686,-0.13762,-0.0016507499999999999,0.000117,0.00779075,0.118806
MASTER_RIGHT_ROT_VEL_X,3730.0,-0.019497427613941014,0.5247796221822616,-6.220078,-0.03451075,0.0,0.01038975,4.14767
MASTER_RIGHT_ROT_VEL_Y,3730.0,-0.01686821260053619,0.8209309232189943,-7.466966,-0.01683675,0.0,0.032002,5.126791
MASTER_RIGHT_ROT_VEL_Z,3730.0,0.015366573994638071,0.7344121700425258,-4.680154,-0.03596725,-0.0,0.029245,6.392732
MASTER_RIGHT_GRIPPER_ANGLE,3730.0,-0.6105006388739946,0.9353242955292627,-1.410143,-1.405904,-1.4027085000000001,0.535333,0.540107
SLAVE_LEFT_POS_X,3730.0,0.04057161233243967,0.005321861968408157,0.018931,0.03872075,0.041445,0.04411675,0.05392
SLAVE_LEFT_POS_Y,3730.0,0.03463969919571045,0.01015211745957358,0.00738,0.02698425,0.0347965,0.0424885,0.05812
SLAVE_LEFT_POS_Z,3730.0,-0.006658343967828418,0.014055424394978344,-0.062638,-0.015957,-0.0064265,0.0034545,0.019894
SLAVE_LEFT_ROT_R11,3730.0,-0.5071148962466487,0.3706436843730782,-0.999423,-0.7663755,-0.595217,-0.328104,0.536292
SLAVE_LEFT_ROT_R12,3730.0,0.2641224222520107,0.5194917718047054,-0.965193,0.0222085,0.48208150000000005,0.62640675,0.965948
SLAVE_LEFT_ROT_R13,3730.0,0.43656874986595173,0.27451979623324235,-0.202463,0.26600075,0.558163,0.6320095,0.840899
SLAVE_LEFT_ROT_R21,3730.0,0.04798827319034853,0.2928890236279422,-0.608478,-0.16848025,-0.0291475,0.1958925,0.963559
SLAVE_LEFT_ROT_R22,3730.0,-0.6735706951742627,0.25750490771236156,-0.962608,-0.8167925,-0.742537,-0.6183375,0.609309
SLAVE_LEFT_ROT_R23,3730.0,0.60749841769437,0.1513204833664574,-0.131164,0.5344897500000001,0.590286,0.67603375,0.954294
SLAVE_LEFT_ROT_R31,3730.0,0.49867145951742625,0.5184863671406451,-0.658723,0.23244575,0.7708740000000001,0.85087925,0.998228
SLAVE_LEFT_ROT_R32,3730.0,0.2524840455764075,0.2769883665938138,-0.656565,0.14883325,0.2900995,0.4443455,0.799773
SLAVE_LEFT_ROT_R33,3730.0,0.5302390284182306,0.24694505611283873,0.028095,0.32061924999999997,0.5533615000000001,0.758097,0.966041
SLAVE_LEFT_LIN_VEL_X,3730.0,-5.3343699731903524e-05,0.006864922760234781,-0.035502,-0.0003875,1e-06,0.0005195,0.041633
SLAVE_LEFT_LIN_VEL_Y,3730.0,1.731045576407513e-05,0.008229150760290144,-0.045112,-0.00275675,-3.3e-05,0.0018154999999999998,0.062356
SLAVE_LEFT_LIN_VEL_Z,3730.0,0.00032110214477211794,0.010881787321472366,-0.068376,-0.00087875,6.05e-05,0.00389575,0.060766
SLAVE_LEFT_ROT_VEL_X,3730.0,-0.005733610455764077,0.5426416403084877,-6.016448,-0.03551825,-6e-06,0.01170825,4.152658
