Model,MAE,RMSE,R2,Mean_Error,Median_Absolute_Error,Version
Tuned Gradient Boosting,4.299410152233115,5.193324727632956,0.13193578697298292,0.3582003822112021,3.8435050643641446,Nested Tuned
Random Forest,4.345475728155339,5.366844752919703,0.07295896249013989,0.08213592233009726,3.792,Untuned
Tuned Random Forest,4.3526133639716225,5.414487878134916,0.056426650916134635,-0.3197575584113992,4.200342857142848,Nested Tuned
Extra Trees,4.423572815533981,5.463225605758696,0.03936332106061513,-0.1292815533980583,3.8859999999999992,Untuned
Tuned Extra Trees,4.554584667257692,5.571981870754915,0.0007359028616603647,-0.09566515508487003,4.269595238095231,Nested Tuned
Gradient Boosting,4.74964710582714,5.975334159494283,-0.1491726707469896,0.22446751903929396,3.5470577180206035,Untuned
Dummy Regressor,4.907239783833684,5.786230358715431,-0.07758697547342464,0.0011528142067380321,4.150537634408602,Untuned
Support Vector Regression,4.935690695508449,5.849157639611578,-0.10115269641380387,-0.288382951376861,4.478204518099096,Untuned
Elastic Net,5.13054548078623,6.2142817330333,-0.24291884208099623,0.8344616779986761,4.225780282270925,Untuned
Tuned Support Vector Regression,5.589552704461288,6.9101541055014915,-0.5368672639485306,0.9053818155433389,4.890717550595726,Nested Tuned
Ridge Regression,5.594619889713396,6.758197287895834,-0.47001790924621933,0.4912316426243474,4.974201207036838,Untuned
