Feature,Mean_Importance,Std_Importance_Across_Subjects,Median_Importance,Minimum_Importance,Maximum_Importance,Positive_Subject_Count
Left_Speed_Std,0.2634732602334996,0.4124712339537087,0.09194685628895438,-0.08749349229924662,1.11619007428989,5
Left_Jerk_Std,0.15553750146307982,0.16134174905512483,0.12444528867741947,0.0,0.4239381715866929,7
Right_Idle_Ratio,0.08914662598782369,0.2598039877060623,0.033725003835505446,-0.33169094216328515,0.42764207981995356,4
Right_Median_Speed,0.0792103917701104,0.25124129986788135,0.013270805220868232,-0.19483855234480177,0.663155882673056,4
Left_Acceleration_Std,0.0765365312606504,0.20445640657082503,0.005802964009100379,-0.05564179082843633,0.5667045433554342,4
Left_Mean_Jerk,0.05424131651579984,0.12750408393884646,0.03083969215000225,-0.09392931847160577,0.3315956156354778,4
Left_Mean_Speed,0.03463181935736347,0.139561685878507,0.008407069881799217,-0.06982058323947002,0.3663058620769003,5
Right_Mean_Acceleration,0.021717123142954504,0.04003518212240024,0.012799867167128495,-0.03072549864895609,0.08237911483339276,4
Right_Acceleration_Std,0.016465588152828666,0.048487991672178765,0.0058703758898920695,-0.032613760357687746,0.11104961610600889,5
Right_Median_Jerk,0.013870954172572864,0.07380883182056831,-0.0010323204153246687,-0.06363399372547057,0.17289356700891692,3
Right_Jerk_Std,0.013833050456902791,0.03424699948896386,0.0,-0.04167259032965684,0.056828344121500805,3
Left_Idle_Ratio,0.010938195259363038,0.052152980687391784,0.00800077075692042,-0.05791571888043275,0.11381802041817349,5
Left_Median_Acceleration,0.009446162247274638,0.049318965540175196,0.010793170072327473,-0.07836485020965131,0.06727902323316917,5
Left_Idle_Time,0.004392730044938169,0.06533484674189027,0.010969372456831777,-0.1265685833027918,0.10827528425468873,4
Left_Max_Acceleration,0.0025586555521068767,0.018406520825751227,0.005129809385953222,-0.034939764846080835,0.024693697556878082,5
Duration_Seconds,-7.36743011068991e-05,0.08952856750590046,-0.007531463926184636,-0.13787016475908434,0.14826493648408529,4
Left_Mean_Acceleration,-0.0019137040549070897,0.027952955494232597,0.0,-0.048104246829595326,0.04580440464128159,3
Right_Mean_Jerk,-0.005799589551233667,0.038818170942144195,0.0,-0.06896848739933696,0.06467615778887366,3
Left_Median_Jerk,-0.007737510156153505,0.050196229352012206,-0.012883782993193031,-0.09964346492932877,0.061615482756408234,3
Right_Max_Jerk,-0.011250080644416955,0.025749256082206153,-0.0024564290568324025,-0.06033848759340102,0.022858397850227488,2
Right_Speed_Std,-0.0134375164674426,0.11503761503447432,0.006348508251149498,-0.28480975670232844,0.07981312116331508,4
Right_Max_Speed,-0.015138472470199936,0.04018963690921791,-0.008069643066856862,-0.07214266921394691,0.05514806337438127,2
Right_Max_Acceleration,-0.019137599469156087,0.053270067084375296,-0.006236621754405839,-0.1256143965454852,0.03919250158374433,2
Right_Median_Acceleration,-0.019711586028987434,0.07814523466503073,0.00888823909984818,-0.20199806451797198,0.03276584126558634,5
Left_Median_Speed,-0.02467280192168463,0.10773030572546174,0.014394481533038506,-0.27669076626625155,0.07167388173819754,5
Left_Max_Speed,-0.02522418918377242,0.11812207870385272,-0.02295725842117508,-0.2270205394549004,0.19531457911380315,3
Right_Idle_Time,-0.029684274578896518,0.16286500408867344,-0.031531611550546,-0.32904468491425976,0.20509495243063017,3
Left_Max_Jerk,-0.04080226660306204,0.07971137965459757,-0.023716132735097286,-0.19931800402480587,0.034612912464387156,3
Right_Mean_Speed,-0.04994982186426772,0.13735141100630693,-0.012889030605559541,-0.3738534570038356,0.050908163953732675,3
