Outer_Fold,Test_Subject,Feature,Importance_Mean,Importance_Std
1,B,Duration_Seconds,-0.05644178681722856,0.12604283419006995
1,B,Left_Mean_Speed,0.011074856556702588,0.008032681303128782
1,B,Left_Median_Speed,0.012014348907084586,0.024798933216767894
1,B,Left_Max_Speed,0.013602827517436319,0.0725807652506099
1,B,Left_Speed_Std,-0.08749349229924662,0.10476953205024482
1,B,Right_Mean_Speed,0.007790292426631999,0.013130353467690124
1,B,Right_Median_Speed,0.043145779959408784,0.18275851447533903
1,B,Right_Max_Speed,0.0,0.0
1,B,Right_Speed_Std,0.0,0.0
1,B,Left_Idle_Ratio,0.011587776919805318,0.014192070353361903
1,B,Left_Idle_Time,-0.013638385825366407,0.020855821961813365
1,B,Right_Idle_Ratio,-0.07360910315638579,0.1739738912248357
1,B,Right_Idle_Time,0.051892928244458604,0.08416492200398003
1,B,Left_Mean_Acceleration,0.009554321162252515,0.010378345006966837
1,B,Left_Median_Acceleration,-0.035624864834351094,0.04599745099550261
1,B,Left_Max_Acceleration,0.021056627371276344,0.0388208419693441
1,B,Left_Acceleration_Std,0.03202564649681126,0.03200180915458411
1,B,Right_Mean_Acceleration,-0.03072549864895609,0.014047255163282719
1,B,Right_Median_Acceleration,-0.05208860252615765,0.02358332113872135
1,B,Right_Max_Acceleration,0.03919250158374433,0.031026551122507653
1,B,Right_Acceleration_Std,-0.012818534456620586,0.011469315416640638
1,B,Left_Mean_Jerk,0.06923262587008981,0.16859943105935304
1,B,Left_Median_Jerk,-0.02976481552592037,0.0214682679933308
1,B,Left_Max_Jerk,0.0263150919147994,0.03193530533837952
1,B,Left_Jerk_Std,0.4239381715866929,0.33953158376030035
1,B,Right_Mean_Jerk,0.007766713845251131,0.009511249323547027
1,B,Right_Median_Jerk,-0.0416541735285944,0.04716173660786773
1,B,Right_Max_Jerk,0.022858397850227488,0.027995705535295092
1,B,Right_Jerk_Std,0.0,0.0
2,C,Duration_Seconds,-0.03250090972156121,0.020068105289247098
2,C,Left_Mean_Speed,0.3663058620769003,0.1749976902503414
2,C,Left_Median_Speed,0.027698118187404783,0.03992695214636257
2,C,Left_Max_Speed,0.19531457911380315,0.13899532017982844
