Model,Fold,Test_Subject,Number_of_Test_Trials,MAE,RMSE,R2
Dummy Regressor,1,B,13,5.146153846153846,5.826824207223034,-2.0231126331811256
Dummy Regressor,2,C,15,5.915909090909092,6.817580150220692,-0.11017673020740104
Dummy Regressor,3,D,15,3.7681818181818167,4.442651871054372,-0.9257849178929558
Dummy Regressor,4,E,14,2.979935794542537,3.268983011942375,-0.49075088024490876
Dummy Regressor,5,F,13,6.6282051282051295,7.8787662273326315,-0.5676431228000263
Dummy Regressor,6,G,10,5.480645161290323,5.9633898690668445,-0.32446997134037536
Dummy Regressor,7,H,10,4.390322580645161,4.843138952446715,-0.8197048031580036
Dummy Regressor,8,I,13,5.12991452991453,5.994245420204684,-0.03871626901162761
Ridge Regression,1,B,13,4.02468817954154,4.535596269572839,-0.8317207929268466
Ridge Regression,2,C,15,8.228417646886907,9.921094304862901,-1.350989941225711
Ridge Regression,3,D,15,4.341961743663487,5.787331885248503,-2.2679845311158493
Ridge Regression,4,E,14,4.208997657467093,5.058750727896063,-2.5699843058290623
Ridge Regression,5,F,13,6.354200637068249,7.3214080843844265,-0.3536924329254554
Ridge Regression,6,G,10,5.722467361000889,6.277556718907314,-0.4676990077876484
Ridge Regression,7,H,10,5.866152769609434,6.46302656191797,-2.240551771920653
Ridge Regression,8,I,13,5.996341127358014,6.743627941002964,-0.31466498620051686
Elastic Net,1,B,13,3.8486247686638655,4.058350329400922,-0.46652531609542125
Elastic Net,2,C,15,8.623421225928004,9.995170605627994,-1.3862285533983245
Elastic Net,3,D,15,3.4201312596595423,4.68809800751546,-1.144453234525519
Elastic Net,4,E,14,3.693285465864603,4.439626768070556,-1.7496199463307103
Elastic Net,5,F,13,5.964112406984092,6.622212188942546,-0.10748271556172884
Elastic Net,6,G,10,5.144904495180674,5.808735428139655,-0.256663213189005
Elastic Net,7,H,10,4.802535913768702,5.260825312696219,-1.1471127207684457
Elastic Net,8,I,13,5.311301026318988,6.044861369750611,-0.05633236016695964
Support Vector Regression,1,B,13,4.977954206433883,5.794422838170816,-1.98958471477878
Support Vector Regression,2,C,15,5.823452164094303,6.715208834558993,-0.07708669645873778
Support Vector Regression,3,D,15,3.942652740611609,4.855404015871851,-1.3002442911546024
Support Vector Regression,4,E,14,3.718899877810269,4.457071588438704,-1.7712708044951113
Support Vector Regression,5,F,13,6.577966768793488,7.793457349242954,-0.5338789883151915
Support Vector Regression,6,G,10,4.670273835595745,5.247382886780648,-0.025513115846495404
Support Vector Regression,7,H,10,4.688407665885632,5.149560201181133,-1.057251378245824
Support Vector Regression,8,I,13,5.077398621897553,5.877911110488526,0.0012106064225191338
Random Forest,1,B,13,3.993384615384614,5.107008126094964,-1.3223281917808216
Random Forest,2,C,15,4.809466666666666,6.015445962963455,0.13569450318471332
Random Forest,3,D,15,2.779866666666666,3.653400936114184,-0.3023205290546396
Random Forest,4,E,14,4.217285714285714,4.992221234795475,-2.476701409252669
Random Forest,5,F,13,5.694923076923077,6.706205461533943,-0.13575454213986826
Random Forest,6,G,10,4.4248,5.011359496184643,0.06466577281191799
Random Forest,7,H,10,4.186400000000001,4.943080658860423,-0.8955815671062839
Random Forest,8,I,13,4.818615384615384,5.92008619999613,-0.013173808416010901
Extra Trees,1,B,13,3.726923076923077,4.740975005207262,-1.001362821917808
Extra Trees,2,C,15,4.992400000000001,6.139223555684112,0.09975957324840756
Extra Trees,3,D,15,2.7224,3.785388187931765,-0.3981187510841282
Extra Trees,4,E,14,4.380285714285715,5.0860359529092705,-2.6085987871886114
Extra Trees,5,F,13,6.475384615384616,7.5384341977526175,-0.43513603347280316
Extra Trees,6,G,10,4.034,4.544893662122361,0.23068683798882694
Extra Trees,7,H,10,4.0496,4.60711554011835,-0.6466651357641582
Extra Trees,8,I,13,5.008923076923076,6.089134282284494,-0.07186230174478281
Gradient Boosting,1,B,13,4.390192755705949,5.485116914074975,-1.678935604752931
Gradient Boosting,2,C,15,6.1128579101402805,7.568535283971991,-0.3682179859409789
Gradient Boosting,3,D,15,2.8046308147186396,3.8293036485703813,-0.4307469416369243
Gradient Boosting,4,E,14,4.44055244322602,5.047893581737869,-2.5546768712169903
Gradient Boosting,5,F,13,6.376476309870271,7.727259447761318,-0.507932011183472
Gradient Boosting,6,G,10,4.899969778699097,5.73539172379791,-0.2251291704063152
Gradient Boosting,7,H,10,3.840208618787077,5.042760239445482,-0.9728030126091742
Gradient Boosting,8,I,13,5.0703926919072915,6.1459241662901825,-0.091948832016157
